x1 x2 x3 x4 x5 x6 x7 x8 y1  
265 111 86 195 6 833 790 28 41.541
313 145 0 178 8 867 824 28 44.388
277 117 91 191 7 946 666 28 43.575
323.7 282.8 0 183.8 10.3 942.7 659.9 56 80.2
349 0 0 192 0 1047 806.9 3 15.049
425 106.3 0 151.4 18.6 936 803.7 56 64.9
425 106.3 0 153.5 16.5 852.1 887.1 91 65.197
149 117.6 91.7 182.9 7.1 953.4 780.3 28 23.524
229.97 0 118.31 195.47 4.63 1029.4 758.59 3 10.032
233.81 0 94.58 197.89 4.567 947.04 852.16 28 22.835
203.5 305.3 0 203.5 0 963.4 630 3 9.5617
339 0 0 197 0 968 781 90 35.17
313.3 262.2 0 175.5 8.6 1046.9 611.8 3 28.799
178.03 129.8 118.6 179.94 3.57 1007.3 746.8 14 34.239
213.5 0 174.24 154.61 11.66 1052.3 775.48 56 51.435
310 0 0 192 0 970 850 360 38.114
374 189.2 0 170.1 10.1 926.1 756.7 56 63.397
424 22 132 168 8.92 822 750 3 32.11
525 0 0 189 0 1125 613 3 33.798
251.81 0 99.94 146.14 12.35 1006 899.76 100 45.368
