x1 x2 x3 x4 x5 x6 x7 x8 y1  
500 0 0 200 0 1125 613 28 44.092
162 207 172 216 10 822 638 28 39.845
183.9 122.6 0 203.5 0 959.2 800 90 32.533
229.97 0 118.31 195.47 4.63 1029.4 758.59 56 31.537
540 0 0 173 0 1125 613 180 71.623
540 0 0 173 0 1125 613 90 69.658
318 0 126 210 6 861 737 28 40.059
491 26 123 201 3.93 822 699 28 57.916
239.6 359.4 0 185.7 0 941.6 664.3 7 25.422
173.54 50.05 173.53 164.77 6.47 1006.2 793.5 3 23.077
297.16 0 117.54 174.8 9.52 1022.8 753.45 100 56.744
362.6 189 0 164.9 11.6 944.7 755.8 56 77.297
332.5 142.5 0 228 0 932 594 270 40.27
148 0 182 181 15 839 884 28 15.52
298 0 107 186 6 879 815 28 42.637
139.6 209.4 0 192 0 1047 806.9 180 44.208
304 76 0 228 0 932 670 270 54.378
202 11 141 206 1.72 942 801 3 9.8497
424 22 132 178 8.48 822 750 7 39.005
218.23 54.64 123.78 140.75 11.91 1075.7 792.67 56 61.991
213.5 0 174.24 159.21 11.66 1043.6 771.9 14 29.592
167 187 195 185 7 898 636 28 23.89
142 167 130 174 11 883 785 28 44.609
181.9 272.8 0 185.7 0 1012.4 714.3 7 12.373
237.5 237.5 0 228 0 932 594 28 30.08
316.1 210.7 0 185.7 0 977 689.3 28 38.7
425 106.3 0 151.4 18.6 936 803.7 3 36.301
190.68 0 125.4 162.14 7.77 1090 804.01 100 40.569
389.9 189 0 145.9 22 944.7 755.8 28 74.498
350 0 0 203 0 974 775 180 32.723
337.9 189 0 174.9 9.5 944.7 755.8 56 59.895
425 106.3 0 153.5 16.5 852.1 887.1 7 49.201
147 115 89 202 9 860 829 28 19.988
405 0 0 175 0 1120 695 28 52.304
122.6 183.9 0 203.5 0 958.2 800.1 7 10.355
295.71 0 95.64 171.54 8.87 955.14 859.2 28 39.941
505 0 60 195 0 1030 630 28 64.018
339 0 0 197 0 968 781 180 36.446
168.88 42.22 124.25 158.33 10.83 1080.8 796.15 56 39.148
213.5 0 174.24 154.61 11.66 1052.3 775.48 3 17.368
388.6 97.1 0 157.9 12.1 852.1 925.7 28 50.697
425 106.3 0 153.5 16.5 852.1 887.1 91 65.197
480 0 0 192 0 936.2 712.2 7 34.57
200 200 0 190 0 1145 660 28 49.249
312.9 160.5 0 177.6 9.6 916.6 759.5 28 52.446
255 0 0 192 0 889.8 945 28 18.746
238.1 0 0 185.7 0 1118.8 789.3 7 10.336
382.5 0 0 185.7 0 1047.8 739.3 28 37.438
288 192 0 192 0 932 717.8 28 38.804
218.85 0 124.13 158.49 11.33 1078.7 794.91 56 37.266
362.6 189 0 164.9 11.6 944.7 755.8 7 22.897
387 20 94 157 13.93 938 845 7 45.898
192 288 0 192 0 929.8 716.1 90 50.732
362.6 189 0 164.9 11.6 944.7 755.8 28 71.299
307 0 0 193 0 968 812 365 36.149
296 0 0 186 0 1090 769 7 18.912
202 11 141 206 1.72 942 801 56 23.245
173 116 0 192 0 946.8 856.8 28 24.282
246.83 0 125.08 143.3 11.99 1086.8 800.89 100 66.424
213.5 0 174.24 159.21 11.66 1043.6 771.9 3 15.61
339.2 0 0 185.7 0 1069.2 754.3 28 31.9
500 0 0 140 4 966 853 28 67.569
167.35 129.9 128.62 175.46 7.79 1006.3 746.6 100 53.655
427.5 47.5 0 228 0 932 594 365 43.698
362.6 189 0 164.9 11.6 944.7 755.8 3 35.301
315 137 0 145 5.9 1130 745 28 81.751
540 0 0 162 2.5 1055 676 28 61.887
525 0 0 189 0 1125 613 14 48.401
266 114 0 228 0 932 670 180 48.696
298.1 0 107 186.4 6.1 879 815.2 28 42.644
237.5 237.5 0 228 0 932 594 7 26.258
332.5 142.5 0 228 0 932 594 365 41.053
272.8 105.1 81.8 209.7 9 904 679.7 28 37.171
337.9 189 0 174.9 9.5 944.7 755.8 7 35.101
153 102 0 192 0 888 943.1 3 4.7822
376 0 0 214.6 0 1003.5 762.36 14 25.621
298 0 107 210 11 880 744 28 31.874
162 214 164 202 10 820 680 28 30.647
108.3 162.4 0 203.5 0 938.2 849 3 2.3318
393 0 0 192 0 940 758 28 39.583
285 190 0 163 7.6 1031 685 28 53.579
339 0 0 197 0 968 781 7 20.967
275.07 0 121.35 159.48 9.9 1053.6 777.5 28 51.331
252 0 0 185 0 1111 784 28 19.691
310 0 0 192 0 970 850 90 34.681
446 24 79 162 11.64 967 712 28 44.423
446 24 79 162 10.3 967 712 56 54.765
167.35 129.9 128.62 175.46 7.79 1006.3 746.6 3 14.941
212 0 124.78 159 7.84 1085.4 799.54 28 38.5
382 0 0 185 0 1047 739 7 24.001
154.8 183.4 0 193.3 9.1 877.2 867.7 28 23.787
165 0.02 143.57 163.81 0 1005.6 900.9 14 16.878
250 0 95.69 187.42 5.53 956.86 861.17 100 42.348
280 129 100 172 9 825 805 28 52.821
480 0 0 192 0 936 721 3 24.394
250 0 0 182 0 1100 820 28 20.87
374 189.2 0 170.1 10.1 926.1 756.7 7 46.202
122.6 183.9 0 203.5 0 958.2 800.1 90 33.192
250.2 166.8 0 203.5 0 977.6 694.1 90 47.714
540 0 0 173 0 1125 613 28 67.307
167.95 42.08 163.83 121.75 5.72 1058.7 780.11 14 17.823
397 0 0 185 0 1040 734 28 39.093
233.81 0 94.58 197.89 4.567 947.04 852.16 3 10.384
251.37 0 118.27 188.45 6.35 1028.4 757.73 3 13.121
349 0 0 192 0 1047 806 180 41.051
190.34 0 125.18 161.85 9.88 1088.1 802.59 28 28.468
155.2 183.9 143.2 193.8 9.2 879.6 698.5 28 28.991
287 121 94 188 9 904 696 28 41.941
213.5 0 174.24 154.61 11.66 1052.3 775.48 100 59.302
295.8 0 0 185.7 0 1091.4 769.3 28 25.217
277.19 97.82 24.46 160.7 11.19 1061.7 782.46 28 63.142
266 114 0 228 0 932 670 28 45.854
172.38 13.61 172.37 156.76 4.14 1006.3 856.4 28 33.688
382 0 0 186 0 1047 739 7 24.001
436 0 0 218 0 838.4 719.7 28 23.849
295.71 0 95.64 171.54 8.87 955.14 859.2 56 48.718
362.6 189 0 164.9 11.6 944.7 755.8 91 79.297
250 0 95.69 187.42 5.53 956.86 861.17 3 13.817
475 0 0 228 0 932 594 180 42.621
233.81 0 94.58 197.89 4.567 947.04 852.16 56 27.662
322 0 0 203 0 974 800 180 29.585
380 0 0 228 0 932 670 270 53.301
305 0 100 196 10 959 705 28 30.123
183.9 122.6 0 203.5 0 959.2 800 28 24.046
389.9 189 0 145.9 22 944.7 755.8 91 82.599
425 106.3 0 153.5 16.5 852.1 887.1 7 49.201
