x1 x2 x3 x4 x5 x6 x7 x8 y1  
265 111 86 195 6 833 790 28 41.541
212 0 124.78 159 7.84 1085.4 799.54 3 19.519
349 0 0 192 0 1047 806 360 42.127
181.38 0 167.01 169.59 7.56 1055.6 777.8 3 13.624
212.57 0 100.39 159.35 10.37 1003.8 903.79 56 44.395
153 102 0 192 0 888 943.1 7 8.3744
380 95 0 228 0 932 594 180 40.759
446 24 79 162 11.61 967 712 56 61.067
289 0 0 192 0 913.2 895.3 7 14.597
181.38 0 167.01 169.59 7.56 1055.6 777.8 56 35.57
374 189.2 0 170.1 10.1 926.1 756.7 3 34.398
317.9 0 126.5 209.7 5.7 860.5 736.6 28 40.062
286.3 200.9 0 144.7 11.2 1004.6 803.7 3 24.401
300 0 0 184 0 1075 795 28 26.848
264.5 111 86.5 195.5 5.9 832.6 790.4 28 41.542
213.5 0 174.24 159.21 11.66 1043.6 771.9 28 44.637
475 0 0 228 0 932 594 270 42.131
166.09 0 163.27 176.46 4.49 1058.6 780.09 28 21.539
260.9 100.5 78.3 200.6 8.6 864.5 761.5 28 32.401
155 183 0 193 9 877 868 28 23.787
154.8 0 142.8 193.3 9.1 877.2 867.7 28 9.7382
322 0 0 203 0 974 800 14 20.774
190.68 0 125.4 162.14 7.77 1090 804.01 28 26.4
167 75.4 167 164.03 7.91 1007.3 770.1 3 15.52
475 118.8 0 181.1 8.9 852.1 781.5 56 72.298
158.8 238.2 0 185.7 0 1040.6 734.3 28 21.066
284 15 141 179 5.46 842 801 56 44.52
143 169.4 142.7 190.7 8.4 967.4 643.5 28 29.726
307 0 0 193 0 968 812 28 27.531
236 157 0 192 0 972.6 749.1 3 13.565
198.6 132.4 0 192 0 978.4 825.5 360 44.296
475 0 0 162 9.5 1044 662 28 58.523
262 111 86 195 5 895 733 28 33.715
310 0 0 192 0 1012 830 120 38.7
424 22 132 178 8.48 822 750 56 65.697
350 0 0 203 0 974 775 56 29.978
135.7 203.5 0 185.7 0 1076.2 759.3 7 7.507
376 0 0 214.6 0 1003.5 762.36 56 36.301
425 106.3 0 153.5 16.5 852.1 887.1 3 33.398
213.76 98.06 24.52 181.74 6.65 1066 785.52 14 17.837
313 145 0 178 8 867 824 28 44.388
491 26 123 210 3.93 882 699 7 33.489
190 190 0 228 0 932 670 28 40.857
362.6 189 0 164.9 11.6 944.7 755.8 91 79.297
182.04 45.21 121.97 170.21 8.19 1059.4 780.65 3 7.3153
313.3 262.2 0 175.5 8.6 1046.9 611.8 56 64.9
307 0 0 193 0 968 812 180 34.488
500 0 0 200 0 1125 613 90 47.222
331 0 0 192 0 978 825 7 16.265
212.52 0 100.37 159.32 8.71 1007.8 903.59 3 13.541
374 189.2 0 170.1 10.1 926.1 756.7 28 61.094
212 141.3 0 203.5 0 973.4 750 28 33.004
313.3 262.2 0 175.5 8.6 1046.9 611.8 91 66.596
136.4 161.6 125.8 171.6 10.4 922.6 764.4 28 29.073
150 237 0 174 12 1069 675 28 37.432
305.3 203.5 0 203.5 0 965.4 631 28 43.377
475 0 0 228 0 932 594 90 42.229
194.68 0 100.52 165.62 7.48 1006.4 905.9 3 12.452
158.4 0 194.9 219.7 11 897.7 712.9 28 8.5364
190.34 0 125.18 166.61 9.88 1079 798.9 100 33.564
277 0 0 191 0 968 856 3 11.363
401.8 94.7 0 147.4 11.4 946.8 852.1 28 68.499
349 0 0 192 0 1056 809 7 9.0115
146.5 114.6 89.3 201.9 8.8 860 829.5 28 19.988
159 187 0 176 11 990 789 28 32.764
218.85 0 124.13 158.49 11.33 1078.7 794.91 28 30.22
446 24 79 162 10.3 967 712 28 53.386
213.5 0 174.24 159.21 11.66 1043.6 771.9 100 52.959
277.19 97.82 24.46 160.7 11.19 1061.7 782.46 100 66.948
387 20 94 157 11.61 938 845 3 34.77
376 0 0 214.6 0 1003.5 762.36 100 43.058
168.88 42.22 124.25 158.33 10.83 1080.8 796.15 100 48.153
425 106.3 0 153.5 16.5 852.1 887.1 7 49.201
238.05 0 94.11 186.66 7 949.91 847.01 3 19.933
149 236 0 176 13 847 893 28 32.957
250.2 166.8 0 203.5 0 977.6 694.1 28 36.964
273 0 90 199 11 931 762 28 32.24
289 0 0 192 0 913.2 895.3 3 11.655
181.38 0 167.01 169.59 7.56 1055.6 777.8 28 27.772
309.9 142.8 111.2 167.8 22.1 913.9 651.2 28 38.216
277 117 91 191 7 946 666 28 43.575
