x1 x2 x3 x4 x5 x6 x7 x8 y1  
265 111 86 195 6 833 790 28 41.541
154.8 0 142.8 193.3 9.1 877.2 867.7 28 9.7382
313 145 0 178 8 867 824 28 44.388
277 0 0 191 0 968 856 3 11.363
277 117 91 191 7 946 666 28 43.575
295.71 0 95.64 171.54 8.87 955.14 859.2 100 52.042
323.7 282.8 0 183.8 10.3 942.7 659.9 56 80.2
298 0 107 164 13 953 784 28 35.86
349 0 0 192 0 1047 806.9 3 15.049
298 137 107 201 6 878 655 28 53.524
425 106.3 0 151.4 18.6 936 803.7 56 64.9
362.6 189 0 164.9 11.6 944.7 755.8 91 79.297
425 106.3 0 153.5 16.5 852.1 887.1 91 65.197
480 0 0 192 0 936.2 712.2 28 43.942
149 117.6 91.7 182.9 7.1 953.4 780.3 28 23.524
250 0 0 182 0 1100 820 7 12.735
229.97 0 118.31 195.47 4.63 1029.4 758.59 3 10.032
194.68 0 100.52 170.17 7.48 998 901.8 14 24.283
233.81 0 94.58 197.89 4.567 947.04 852.16 28 22.835
252 97 76 194 8 835 821 28 33.398
203.5 305.3 0 203.5 0 963.4 630 3 9.5617
212.52 0 100.37 159.32 8.71 1007.8 903.59 14 26.31
339 0 0 197 0 968 781 90 35.17
290.2 193.5 0 185.7 0 998.2 704.3 28 33.043
313.3 262.2 0 175.5 8.6 1046.9 611.8 3 28.799
250 0 95.69 187.42 5.53 956.86 861.17 56 38.328
178.03 129.8 118.6 179.94 3.57 1007.3 746.8 14 34.239
167.95 42.08 163.83 121.75 5.72 1058.7 780.11 100 39.231
213.5 0 174.24 154.61 11.66 1052.3 775.48 56 51.435
116 173 0 192 0 909.8 891.9 90 31.024
310 0 0 192 0 970 850 360 38.114
313 161 0 178 10 917 759 28 52.442
374 189.2 0 170.1 10.1 926.1 756.7 56 63.397
172.38 13.61 172.37 156.76 4.14 1006.3 856.4 100 37.68
424 22 132 168 8.92 822 750 3 32.11
286.3 200.9 0 144.7 11.2 1004.6 803.7 28 67.7
525 0 0 189 0 1125 613 3 33.798
475 0 59 142 1.9 1098 641 28 57.227
251.81 0 99.94 146.14 12.35 1006 899.76 100 45.368
323.7 282.8 0 183.8 10.3 942.7 659.9 28 74.698
