x1 x2 x3 x4 x5 x6 x7 x8 y1  
277 117 91 191 7 946 666 28 43.575
300 0 0 184 0 1075 795 7 15.575
287.3 120.5 93.9 187.6 9.2 904.4 695.9 28 43.798
397 0 0 185.7 0 1040.6 734.3 7 25.448
277.05 0 97.39 160.6 11.83 973.9 875.61 100 55.641
165 0.02 143.57 163.81 0 1005.6 900.9 3 14.396
250.2 166.8 0 203.5 0 977.6 694.1 7 19.35
151.8 178.1 138.7 167.5 18.3 944 694.6 28 36.35
366 187 0 191.3 6.6 824.3 756.9 28 65.909
313.3 0 113 178.5 8 1001.9 688.7 28 36.805
295.71 0 95.64 171.54 8.87 955.14 859.2 100 52.042
252.1 97.1 75.6 193.8 8.3 835.5 821.4 28 33.4
333 17.5 163 167 17.9 996 652 28 47.277
385 0 0 186 0 966 763 1 6.2673
379.5 151.2 0 153.9 15.9 1134.3 605 28 52.2
251.37 0 118.27 188.45 5.75 1028.4 757.73 3 17.223
222.36 0 96.67 189.29 4.46 967.08 870.32 56 29.448
190.34 0 125.18 166.61 9.88 1079 798.9 3 12.548
289 134 0 195 6 924 760 28 46.243
164.6 0 150.4 181.6 11.7 1023.3 728.9 28 18.034
323.7 282.8 0 183.8 10.3 942.7 659.9 56 80.2
385 0 0 186 0 966 763 28 31.35
145 0 179 202 8 824 869 28 10.535
165 128.5 132.1 175.06 8.08 1005.8 746.6 28 46.388
122.6 183.9 0 203.5 0 958.2 800.1 3 3.3198
500 0 0 200 0 1125 613 180 51.042
375 93.8 0 126.6 23.4 852.1 992.6 3 28.999
214.9 53.8 121.89 155.63 9.61 1014.3 780.58 14 38.604
152 178 139 168 18 944 695 28 36.349
148.1 0 182.1 181.4 15 838.9 884.3 28 15.526
298 0 107 164 13 953 784 28 35.86
229.68 0 118.16 195.23 6.13 1028.1 757.63 100 40.858
218.85 0 124.13 158.49 11.33 1078.7 794.91 14 26.048
475 0 0 228 0 932 594 7 38.604
133 200 0 192 0 927.4 839.2 28 27.875
246.83 0 125.08 143.3 11.99 1086.8 800.89 56 60.322
178.03 129.8 118.6 179.94 3.57 1007.3 746.8 56 48.587
342 38 0 228 0 932 670 90 50.459
380 95 0 228 0 932 594 365 43.698
393 0 0 192 0 940.6 785.6 7 27.742
349 0 0 192 0 1047 806.9 3 15.049
331 0 0 192 0 978 825 180 38.997
375 0 0 186 0 1038 758 7 26.062
213.74 0 174.74 154.79 10.16 1053.5 776.35 3 17.575
362.6 189 0 164.9 11.6 944.7 755.8 3 35.301
362.6 189 0 164.9 11.6 944.7 755.8 28 71.299
212 141.3 0 203.5 0 973.4 750 3 6.8086
362.6 189 0 164.9 11.6 944.7 755.8 28 71.299
290.35 0 96.18 168.08 9.41 961.18 865 28 34.736
310 0 0 192 0 1012 830 90 35.763
298 137 107 201 6 878 655 28 53.524
231.75 0 121.62 173.96 6.72 1056.4 778.45 28 33.729
331 170 0 195 8 811 802 28 56.613
304 140 0 214 6 895 722 28 33.419
284 15 141 179 5.46 842 801 3 13.396
143.7 170.2 132.6 191.6 8.5 814.1 805.3 28 29.871
213.74 0 174.74 154.79 10.16 1053.5 776.35 28 40.148
203.5 305.3 0 203.5 0 963.4 630 28 41.684
485 0 0 146 0 1120 800 28 71.988
362.6 189 0 164.9 11.6 944.7 755.8 56 77.297
425 106.3 0 151.4 18.6 936 803.7 56 64.9
159 149 116 175 15 953 720 28 27.676
380 0 0 228 0 932 670 90 52.908
356 119 0 160 9.03 1061 657 28 58.998
167 75.4 167 164.03 7.91 1007.3 770.1 28 41.41
313 0 0 178 8 1000 822 28 25.097
424 22 132 178 8.48 822 750 28 62.053
198.6 132.4 0 192 0 978.4 825.5 28 28.022
159 209 161 201 7 848 669 28 30.882
379.5 151.2 0 153.9 15.9 1134.3 605 91 56.496
362.6 189 0 164.9 11.6 944.7 755.8 91 79.297
225 0 0 181 0 1113 833 7 11.17
321.3 164.2 0 190.5 4.6 870 774 28 57.218
146 173 0 182 3 986 817 28 23.739
210.7 316.1 0 185.7 0 977 689.3 7 21.82
288.4 121 0 177.4 7 907.9 829.5 28 42.14
168.88 42.22 124.25 158.33 10.83 1080.8 796.15 14 23.511
133 200 0 192 0 927.4 839.2 7 13.664
218.85 0 124.13 158.49 11.33 1078.7 794.91 100 46.229
168.88 42.22 124.25 158.33 10.83 1080.8 796.15 3 7.3981
425 106.3 0 153.5 16.5 852.1 887.1 91 65.197
145.7 172.6 0 181.9 3.4 985.8 816.8 28 23.744
181.9 272.8 0 185.7 0 1012.4 714.3 28 27.935
540 0 0 173 0 1125 613 270 74.167
303.6 139.9 0 213.5 6.2 895.5 722.5 28 33.42
500 0 0 200 0 1125 613 1 12.638
186.2 124.1 0 185.7 0 1083.4 764.3 7 7.9959
200 0 0 180 0 1125 845 28 12.245
135 0 166 180 10 961 805 28 13.293
236 157 0 192 0 972.6 749.1 90 47.782
480 0 0 192 0 936.2 712.2 28 43.942
108.3 162.4 0 203.5 0 938.2 849 28 20.594
475 118.8 0 181.1 8.9 852.1 781.5 7 55.599
307 0 0 193 0 968 812 3 12.542
144 136 106 178 7 941 774 28 26.145
155 0 143 193 9 877 868 28 9.7354
167 75.4 167 164.03 7.91 1007.3 770.1 56 53.462
198.6 132.4 0 192 0 978.4 825.5 7 14.638
374 189.2 0 170.1 10.1 926.1 756.7 91 64.9
190.34 0 125.18 161.85 9.88 1088.1 802.59 14 22.718
149 117.6 91.7 182.9 7.1 953.4 780.3 28 23.524
178.03 129.8 118.6 179.94 3.57 1007.3 746.8 28 39.162
277.05 0 97.39 160.6 11.83 973.9 875.61 3 23.139
255 0 0 192 0 889.8 945 90 21.859
190.34 0 125.18 166.61 9.88 1079 798.9 14 19.416
192 288 0 192 0 929.8 716.1 28 39.322
350 0 0 186 0 1050 770 28 34.295
331 0 0 192 0 978 825 3 13.521
424 22 132 178 8.48 882 750 3 32.011
381.4 0 0 185.7 0 1104.6 784.3 7 14.541
250 0 0 182 0 1100 820 7 12.735
349 0 0 192 0 1047 806 3 14.989
214.9 53.8 121.89 155.63 9.61 1014.3 780.58 28 52.2
157 236 0 192 0 935.4 781.2 7 16.889
296 0 0 192 0 1085 765 28 21.65
153 145 0 178 8 1000 822 28 19.009
288 121 0 177 7 908 829 28 42.134
213.74 0 174.74 154.79 10.16 1053.5 776.35 100 50.077
302 0 0 203 0 974 817 180 26.745
154 144 112 220 10 923 658 28 16.499
229.97 0 118.31 195.47 4.63 1029.4 758.59 3 10.032
380 95 0 228 0 932 594 270 41.151
252 0 0 185 0 1111 784 7 13.714
332.5 142.5 0 228 0 932 594 7 30.276
349 0 0 192 0 1056 809 120 40.858
238.05 0 94.11 186.66 7 949.91 847.01 100 44.299
150 236.8 0 173.8 11.9 1069.3 674.8 28 37.432
254 0 0 198 0 968 863 90 26.945
401.8 94.7 0 147.4 11.4 946.8 852.1 3 41.1
135 105 193 196 6 965 643 28 21.912
194.68 0 100.52 170.17 7.48 998 901.8 14 24.283
237.5 237.5 0 228 0 932 594 365 38.995
108.3 162.4 0 203.5 0 938.2 849 7 7.7235
425 106.3 0 151.4 18.6 936 803.7 28 61.798
425 106.3 0 153.5 16.5 852.1 887.1 56 64.301
427.5 47.5 0 228 0 932 594 270 43.013
237.5 237.5 0 228 0 932 594 270 38.408
491 26 123 210 3.93 882 699 56 59.59
469 117.2 0 137.8 32.2 852.1 840.5 28 66.9
359 19 141 154 10.91 942 801 7 38.611
233.81 0 94.58 197.89 4.567 947.04 852.16 28 22.835
325 0 0 184 0 1063 783 7 17.54
154 174 185 228 7 845 612 28 24.339
313 145 0 127 8 1000 822 28 44.519
246.83 0 125.08 143.3 11.99 1086.8 800.89 14 42.217
194.68 0 100.52 165.62 7.48 1006.4 905.9 14 24.987
213.76 98.06 24.52 181.74 6.65 1066 785.52 28 40.231
310 0 0 192 0 1012 830 3 11.852
153.1 145 113 178.5 8 867.2 824 28 26.233
425 106.3 0 153.5 16.5 852.1 887.1 56 64.301
252 97 76 194 8 835 821 28 33.398
307 0 0 193 0 968 812 90 32.922
385 0 0 186 0 966 763 7 23.222
284 119.7 0 168.3 7.2 970.4 794.2 28 40.935
251.81 0 99.94 146.14 12.35 1006 899.76 28 33.943
475 118.8 0 181.1 8.9 852.1 781.5 3 37.797
446 24 79 162 11.64 967 712 7 39.3
255 0 0 192 0 889.8 945 3 8.2041
439 177 0 186 11.1 884.9 707.9 28 65.997
342 38 0 228 0 932 670 180 52.124
203.5 305.3 0 203.5 0 963.4 630 3 9.5617
385 0 0 186 0 966 763 3 14.7
139.6 209.4 0 192 0 1047 806.9 3 8.0634
194.68 0 100.52 170.17 7.48 998 901.8 56 43.389
160 250 0 168 12 1049 688 28 39.452
326 166 0 174 9 882 790 28 61.232
190.68 0 125.4 162.14 7.77 1090 804.01 3 15.044
316.1 210.7 0 185.7 0 977 689.3 7 24.438
155.6 243.5 0 180.3 10.7 1022 697.7 28 37.363
140 133 103 200 7 916 753 28 36.439
212.52 0 100.37 159.32 8.71 1007.8 903.59 14 26.31
212 141.3 0 203.5 0 973.4 750 7 15.031
238.05 0 94.11 186.66 7 949.91 847.01 28 30.234
194.68 0 100.52 165.62 7.48 1006.4 905.9 56 33.964
297.16 0 117.54 174.8 9.52 1022.8 753.45 14 36.99
164.2 0 200.1 181.2 12.6 849.3 846 28 15.091
251.37 0 118.27 188.45 6.35 1028.4 757.73 14 24.428
266.2 112.3 87.5 177.9 10.4 909.7 744.5 28 39.421
359 19 141 154 10.91 942 801 56 68.751
218.23 54.64 123.78 140.75 11.91 1075.7 792.67 100 63.528
339 0 0 197 0 968 781 90 35.17
525 0 0 189 0 1125 613 28 55.944
362.6 189 0 164.9 11.6 944.7 755.8 56 77.297
439 177 0 186 11.1 884.9 707.9 56 71.699
491 26 123 210 3.93 882 699 28 55.551
362.6 189 0 164.9 11.6 944.7 755.8 3 35.301
200 0 0 180 0 1125 845 7 7.8393
387 20 94 157 14.32 938 845 3 22.753
382 0 0 186 0 1047 739 28 37.425
229.68 0 118.16 195.23 6.13 1028.1 757.63 56 31.35
290.2 193.5 0 185.7 0 998.2 704.3 28 33.043
261.9 110.5 86.1 195.4 5 895.2 732.6 28 33.719
160.2 188 146.4 203.2 11.3 828.7 709.7 28 35.314
446 24 79 162 11.64 967 712 28 51.021
238 0 0 186 0 1119 789 28 17.54
342 38 0 228 0 932 670 365 56.142
212 0 124.78 159 7.84 1085.4 799.54 56 45.085
158 0 195 220 11 898 713 28 8.5357
275.07 0 121.35 159.48 9.9 1053.6 777.5 3 23.801
133.1 210.2 0 195.7 3.1 949.4 795.3 28 28.938
313.3 262.2 0 175.5 8.6 1046.9 611.8 3 28.799
148.5 139.4 108.6 192.7 6.1 892.4 780 28 23.697
