x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 y1  
6 0.18 0.27 1.5 0.089 40 143 0.9923 3.49 0.62 10.8 6
6.1 0.105 0.31 1.3 0.037 55 145 0.9912 3.41 0.41 11.1 7
5.5 0.12 0.33 1 0.038 23 131 0.99164 3.25 0.45 9.8 5
7 0.33 0.78 9.9 0.042 21 251 0.99435 3.01 0.55 11 6
6.4 0.5 0.2 2.4 0.059 19 112 0.99314 3.18 0.4 9.2 6
7.8 0.25 0.34 13.7 0.044 66 184 0.99976 3.22 0.75 8.9 5
6.2 0.23 0.36 17.2 0.039 37 130 0.99946 3.23 0.43 8.8 6
8.4 0.23 0.32 1.3 0.048 59 113 0.99178 3.1 0.55 11 6
7.3 0.2 0.37 1.2 0.037 48 119 0.992 3.32 0.49 10.9 6
5.7 0.45 0.42 1.1 0.051 61 197 0.9932 3.02 0.4 9 5
6.1 0.34 0.31 12 0.053 46 238 0.9977 3.16 0.48 8.6 5
7.4 0.22 0.28 9 0.046 22 121 0.99468 3.1 0.55 10.8 5
6.8 0.17 0.35 1.8 0.04 29 84 0.98961 2.91 0.57 12 7
7.7 0.29 0.48 2.3 0.049 36 178 0.9931 3.17 0.64 10.6 6
6 0.52 0.33 7.7 0.046 24 119 0.99224 3.04 0.38 11 6
6.2 0.21 0.52 6.5 0.047 28 123 0.99418 3.22 0.49 9.9 6
8 0.24 0.3 17.45 0.056 43 184 0.9997 3.05 0.5 9.2 6
7.6 0.25 1.23 4.6 0.035 51 294 0.99018 3.03 0.43 13.1 6
6.4 0.37 0.37 4.85 0.041 39.5 216.5 0.99432 3.1 0.5 9.8 6
5.7 0.36 0.21 6.7 0.038 51 166 0.9941 3.29 0.63 10 6
8.5 0.21 0.26 9.25 0.034 73 142 0.9945 3.05 0.37 11.4 6
6.8 0.28 0.39 1.4 0.036 15 115 0.9918 3.27 0.72 11.7 5
7.6 0.22 0.28 12 0.056 68 143 0.9983 2.99 0.3 9.2 6
7.6 0.16 0.41 1.9 0.047 27 151 0.9937 3.2 0.53 10.1 6
6.5 0.24 0.38 1 0.027 31 90 0.98926 3.24 0.36 12.3 6
5.9 0.42 0.36 2.4 0.034 19 77 0.99184 3.25 0.48 10.9 5
5.5 0.34 0.26 2.2 0.021 31 119 0.98919 3.55 0.49 13 8
6 0.27 0.3 14.7 0.044 15 144 0.99666 3.12 0.53 10.3 6
5.5 0.35 0.35 1.1 0.045 14 167 0.992 3.34 0.68 9.9 6
