x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 y1  
6.6 0.24 0.28 1.8 0.028 39 132 0.99182 3.34 0.46 11.4 5
7.6 0.2 0.39 2.6 0.044 30 180 0.9941 3.46 0.44 10.8 7
8 0.24 0.26 1.7 0.033 36 136 0.99316 3.44 0.51 10.4 7
6.8 0.26 0.44 8.2 0.046 52 183 0.99584 3.2 0.51 9.4 5
6.1 0.17 0.42 15.1 0.033 28 124 0.99684 2.87 0.47 9.5 5
7.5 0.34 0.24 3.85 0.031 5 34 0.99098 3.01 0.36 11.8 4
10 0.2 0.39 1.4 0.05 19 152 0.994 3 0.42 10.4 6
5.7 0.265 0.28 6.9 0.036 46 150 0.99299 3.36 0.44 10.8 7
4.4 0.46 0.1 2.8 0.024 31 111 0.98816 3.48 0.34 13.1 6
5.7 0.16 0.32 1.2 0.036 7 89 0.99111 3.26 0.48 11 5
9.6 0.29 0.46 1.45 0.039 77.5 223 0.9944 2.92 0.46 9.5 6
6.2 0.22 0.3 12.4 0.054 108 152 0.99728 3.1 0.47 9.5 6
9.3 0.2 0.33 1.7 0.05 28 178 0.9954 3.16 0.43 9 4
6.8 0.27 0.28 13.3 0.076 50 163 0.9979 3.03 0.38 8.6 6
5.8 0.28 0.3 3.9 0.026 36 105 0.98963 3.26 0.58 12.75 6
7.6 0.34 0.39 7.6 0.04 45 215 0.9965 3.11 0.53 9.2 6
6.8 0.23 0.32 8.6 0.046 47 159 0.99452 3.08 0.52 10.5 6
6.6 0.295 0.24 1.6 0.039 29 140 0.99304 3.35 0.61 10.4 7
7.3 0.205 0.31 1.7 0.06 34 110 0.9963 3.72 0.69 10.5 6
5.7 0.26 0.24 17.8 0.059 23 124 0.99773 3.3 0.5 10.1 5
6.6 0.21 0.39 2.3 0.041 31 102 0.99221 3.22 0.58 10.9 7
6 0.27 0.26 1.3 0.038 32 138 0.99125 3.46 0.43 11.1 6
6.4 0.3 0.33 5.2 0.05 30 137 0.99304 3.26 0.58 11.1 5
9.2 0.15 0.68 1.6 0.046 22 130 0.9948 3.02 0.45 10.4 6
6.5 0.3 0.39 7.8 0.038 61 219 0.9959 3.19 0.5 9.4 5
7.3 0.25 0.28 1.5 0.043 19 113 0.99338 3.38 0.56 10.1 6
7.8 0.29 0.29 3.15 0.044 41 117 0.99153 3.24 0.35 11.5 5
7.4 0.26 0.29 3.7 0.048 14 73 0.9915 3.06 0.45 11.4 6
5.8 0.2 0.27 1.4 0.031 12 77 0.9905 3.25 0.36 10.9 7
7.2 0.39 0.54 1.4 0.157 34 132 0.99449 3.11 0.53 9 6
6.6 0.46 0.49 7.4 0.052 19 184 0.9956 3.11 0.38 9 5
7 0.24 0.3 6.7 0.039 37 125 0.99436 3.2 0.39 9.9 5
6.1 0.23 0.45 10.6 0.094 49 169 0.99699 3.05 0.54 8.8 5
6.8 0.25 0.34 4.7 0.031 34 134 0.9927 3.21 0.38 10.6 6
7.6 0.23 0.34 1.6 0.043 24 129 0.99305 3.12 0.7 10.4 5
5.6 0.25 0.26 3.6 0.037 18 115 0.9904 3.42 0.5 12.6 6
6.9 0.28 0.4 8.2 0.036 15 95 0.9944 3.17 0.33 10.2 5
6.9 0.25 0.26 5.2 0.024 36 135 0.9948 3.16 0.72 10.7 7
7.7 0.27 0.49 3.8 0.037 46 139 0.99116 3.04 0.38 11.6 6
7.9 0.64 0.46 10.6 0.244 33 227 0.9983 2.87 0.74 9.1 3
7.6 0.4 0.27 5.2 0.03 32 101 0.99172 3.22 0.62 12.3 7
6.6 0.3 0.25 8 0.036 21 124 0.99362 3.06 0.38 10.8 6
5.8 0.36 0.26 3.3 0.038 40 153 0.9911 3.34 0.55 11.3 6
6.2 0.32 0.16 7 0.045 30 136 0.9949 3.18 0.47 9.6 6
6.9 0.45 0.27 4.7 0.035 17 80 0.99058 3.12 0.36 12.5 7
7.1 0.2 0.31 6.85 0.053 32 211 0.99587 3.31 0.59 10.4 6
7.7 0.18 0.3 1.2 0.046 49 199 0.99413 3.03 0.38 9.3 5
6.8 0.14 0.18 1.4 0.047 30 90 0.99164 3.27 0.54 11.2 6
7.4 0.4 0.41 14.1 0.053 37 194 0.99886 3.2 0.63 9.4 6
7.3 0.19 0.27 13.9 0.057 45 155 0.99807 2.94 0.41 8.8 8
5.8 0.26 0.18 1.2 0.031 40 114 0.9908 3.42 0.4 11 7
6.4 0.24 0.32 0.95 0.041 23 131 0.99033 3.25 0.35 11.8 5
6.7 0.24 0.41 2.9 0.039 48 122 0.99052 3.25 0.43 12 5
6.7 0.31 0.3 2.4 0.038 30 83 0.98867 3.09 0.36 12.8 7
6.2 0.3 0.3 2.5 0.041 29 82 0.99065 3.31 0.61 11.8 7
8 0.27 0.24 1.2 0.044 20 102 0.9929 3.28 0.42 10.9 5
7.6 0.345 0.26 1.9 0.043 15 134 0.9936 3.08 0.38 9.5 5
6.7 0.16 0.34 1.6 0.026 27 109 0.9934 3.34 0.58 10.1 6
6.5 0.2 0.5 18.1 0.054 50 221 0.99941 2.94 0.64 8.8 6
7.3 0.28 0.54 12.9 0.049 62 152 0.9984 3.06 0.45 9.1 6
6.3 0.34 0.33 4.6 0.034 19 80 0.9917 3.38 0.58 12 7
6.4 0.225 0.48 2.2 0.115 29 104 0.9918 3.24 0.58 12.1 6
6.9 0.19 0.33 1.6 0.043 63 149 0.9925 3.44 0.52 10.8 5
6.9 0.27 0.4 14 0.05 64 227 0.9979 3.18 0.58 9.6 6
6.3 0.29 0.23 14.2 0.037 24 99 0.99528 3.08 0.38 10.6 6
6.7 0.27 0.26 2.3 0.043 61 181 0.99394 3.45 0.63 10.6 6
5.7 0.1 0.27 1.3 0.047 21 100 0.9928 3.27 0.46 9.5 5
8.3 0.25 0.33 2.5 0.053 12 72 0.99404 2.89 0.48 9.5 5
8.1 0.3 0.49 8.1 0.037 26 174 0.9943 3.1 0.3 11.2 7
6.6 0.23 0.32 1.7 0.024 26 102 0.99084 3.29 0.6 11.8 6
6.6 0.085 0.33 1.4 0.036 17 109 0.99306 3.27 0.61 9.5 6
6.3 0.36 0.2 2 0.048 48 191 0.9929 3.17 0.51 9.6 5
6.7 0.18 0.25 14.3 0.048 79 149 0.9975 3.12 0.37 9.7 5
6.6 0.26 0.38 6.5 0.17 68 201 0.9956 3.19 0.38 9.4 6
5.6 0.34 0.1 1.3 0.031 20 68 0.9906 3.36 0.51 11.2 7
6.3 0.695 0.55 12.9 0.056 58 252 0.99806 3.29 0.49 8.7 5
7.1 0.17 0.4 14.55 0.047 47 156 0.99945 3.34 0.78 9.1 6
7.1 0.18 0.26 1.3 0.041 20 71 0.9926 3.04 0.74 9.9 6
7.8 0.4 0.49 7.8 0.06 34 162 0.9966 3.26 0.58 11.3 6
6.6 0.17 0.38 1.5 0.032 28 112 0.9914 3.25 0.55 11.4 7
7.2 0.23 0.33 12.7 0.049 50 183 0.9987 3.41 0.4 9.8 5
6.6 0.33 0.41 2 0.027 14 79 0.99063 3.27 0.63 12.4 6
7 0.2 0.31 8 0.05 29 213 0.99596 3.28 0.57 10.4 6
6.5 0.37 0.33 3.5 0.036 23 92 0.99136 3.18 0.38 11.2 6
6.6 0.34 0.27 6.2 0.059 23 136 0.9957 3.3 0.49 10.1 6
6.6 0.17 0.26 7.4 0.052 45 128 0.99388 3.16 0.37 10 6
9.2 0.22 0.4 2.4 0.054 18 151 0.9952 3.04 0.46 9.3 4
5.2 0.36 0.02 1.6 0.031 24 104 0.9896 3.44 0.35 12.2 6
7.7 0.49 1 19.6 0.03 28 135 0.9973 3.24 0.4 12 6
6.8 0.2 0.38 4.7 0.04 27 103 0.994 3.37 0.58 10.7 6
7.8 0.34 0.35 1.8 0.042 8 167 0.9908 3.11 0.41 12.1 6
6.9 0.19 0.35 1.7 0.036 33 101 0.99315 3.21 0.54 10.8 7
6 0.17 0.33 6 0.036 30 111 0.99362 3.32 0.58 10.15 7
6.9 0.21 0.49 1.4 0.041 15 164 0.9927 3.25 0.63 11 5
7.1 0.31 0.47 13.6 0.056 54 197 0.9978 3.1 0.49 9.3 5
6.5 0.52 0.17 1.4 0.047 5 26 0.9932 3.26 0.32 10 4
7.2 0.34 0.2 5.8 0.062 52 203 0.99461 3.17 0.44 9.8 6
6.9 0.19 0.32 7.9 0.042 30 130 0.99456 3.4 0.39 10.5 6
6.8 0.31 0.32 7.6 0.052 35 143 0.9959 3.14 0.38 9 5
6.5 0.26 0.31 3.6 0.03 36 92 0.99026 3.22 0.62 12.6 8
7.7 0.34 0.58 11.1 0.039 41 151 0.9978 3.06 0.49 8.6 5
8.5 0.16 0.35 1.6 0.039 24 147 0.9935 2.96 0.36 10 5
7 0.35 0.3 6.5 0.028 27 87 0.9936 3.4 0.42 11.4 7
4.8 0.65 0.12 1.1 0.013 4 10 0.99246 3.32 0.36 13.5 4
7 0.13 0.3 5 0.056 31 122 0.9945 3.47 0.42 10.5 6
6.6 0.38 0.18 1.2 0.042 20 84 0.9927 3.22 0.45 10.1 4
6.6 0.24 0.38 12.75 0.034 8 74 0.99386 3.1 0.57 12.9 6
5.6 0.245 0.32 1.1 0.047 24 152 0.9927 3.12 0.42 9.3 6
6.8 0.52 0.26 5.7 0.038 27 130 0.99 3.11 0.27 13 7
5.5 0.21 0.25 1.2 0.04 18 75 0.99006 3.31 0.56 11.3 6
6.3 0.17 0.32 4.2 0.04 37 117 0.99182 3.24 0.43 11.3 6
7.8 0.18 0.46 13.6 0.052 38 118 0.998 3.15 0.5 10 6
6.6 0.35 0.19 10.5 0.06 15 82 0.99588 3.13 0.38 9.9 4
7.4 0.4 0.29 5.4 0.044 31 122 0.994 3.3 0.5 11.1 8
6.4 0.18 0.74 11.9 0.046 54 168 0.9978 3.58 0.68 10.1 5
5.9 0.2 0.28 12.8 0.038 29 132 0.99426 3.31 0.57 11.8 7
7.7 0.24 0.29 15.3 0.044 39 194 0.9982 3.06 0.47 9.6 7
8.8 0.2 0.43 15 0.053 60 184 1.0008 3.28 0.79 8.8 6
5.4 0.18 0.24 4.8 0.041 30 113 0.99445 3.42 0.4 9.4 6
7.7 0.28 0.29 4.3 0.051 25 142 0.9939 3.16 0.39 10.2 5
5.8 0.32 0.23 1.5 0.033 39 121 0.9887 2.96 0.35 12 5
5.9 0.29 0.16 7.9 0.044 48 197 0.99512 3.21 0.36 9.4 5
6.6 0.24 0.24 8.6 0.034 25 135 0.99582 3.33 0.59 10.3 6
5.6 0.26 0.18 1.4 0.034 18 135 0.99174 3.32 0.35 10.2 6
5.8 0.18 0.28 1.3 0.034 9 94 0.99092 3.21 0.52 11.2 6
5.3 0.16 0.39 1 0.028 40 101 0.99156 3.57 0.59 10.6 6
7 0.44 0.24 12.1 0.056 68 210 0.99718 3.05 0.5 9.5 5
6 0.17 0.33 6 0.036 30 111 0.99362 3.32 0.58 10.133 7
6.9 0.18 0.38 6.5 0.039 20 110 0.9943 3.1 0.42 10.5 5
6.7 0.27 0.31 15.7 0.036 44 179 0.9979 3.26 0.56 9.6 5
5.9 0.21 0.23 7.9 0.033 22 130 0.9944 3.38 0.59 10.9 6
6.8 0.33 0.44 7 0.05 29 155 0.9955 3.14 0.42 9.5 5
6.8 0.25 0.27 10.7 0.076 47 154 0.9967 3.05 0.38 9 5
8.2 0.22 0.49 9.6 0.037 53 154 0.9951 3.02 0.33 10.6 6
6.9 0.18 0.33 1 0.054 24 164 0.9926 3.42 0.51 10.5 5
6.8 0.19 0.4 9.85 0.055 41 103 0.99532 2.98 0.56 10.5 6
6.6 0.55 0.01 2.7 0.034 56 122 0.9906 3.15 0.3 11.9 5
6.9 0.58 0.58 8.2 0.032 29 169 0.99275 3.28 0.44 12.2 6
7.5 0.29 0.67 8.1 0.037 53 166 0.9966 2.9 0.41 8.9 6
6.3 0.34 0.36 4.9 0.035 31 185 0.9946 3.15 0.49 9.7 5
6.1 0.38 0.14 3.9 0.06 27 113 0.99344 3.07 0.34 9.2 4
6.6 0.44 0.32 3 0.095 13 75 0.98954 3.1 0.63 12.8 6
6.4 0.26 0.21 7.1 0.04 35 162 0.9956 3.39 0.58 9.9 6
8.9 0.32 0.49 1.6 0.05 17 131 0.9956 3.13 0.34 9.4 5
6.2 0.27 0.32 6.3 0.048 47 159 0.99282 3.21 0.6 11 6
6.8 0.25 0.18 1.4 0.056 13 137 0.9935 3.11 0.42 9.5 5
6.5 0.36 0.32 1.1 0.031 13 66 0.9916 3.1 0.46 10.6 5
7.7 0.46 0.18 3.3 0.054 18 143 0.99392 3.12 0.51 10.8 6
9 0.26 0.34 6.7 0.029 21 162 0.99497 3.08 0.5 10.6 6
7.3 0.34 0.22 1.4 0.044 43 176 0.99286 3.14 0.46 9.9 5
7.9 0.19 0.45 1.5 0.045 17 96 0.9917 3.13 0.39 11 6
6.6 0.22 0.29 14.4 0.046 39 118 0.99834 3.05 0.5 9.1 6
6.4 0.24 0.26 8.2 0.054 47 182 0.99538 3.12 0.5 9.5 5
7.3 0.17 0.24 8.1 0.121 32 162 0.99508 3.17 0.38 10.4 8
6.7 0.22 0.39 10.2 0.038 60 149 0.99725 3.17 0.54 10 7
