x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 y1  
6 0.18 0.27 1.5 0.089 40 143 0.9923 3.49 0.62 10.8 6
8 0.18 0.49 1.8 0.061 10 145 0.9942 3.23 0.48 10 5
6.1 0.105 0.31 1.3 0.037 55 145 0.9912 3.41 0.41 11.1 7
6.3 0.25 0.53 1.8 0.021 41 101 0.98932 3.19 0.31 13 6
5.5 0.12 0.33 1 0.038 23 131 0.99164 3.25 0.45 9.8 5
7.8 0.2 0.2 1.4 0.036 25 83 0.99088 3.03 0.46 11.7 6
7 0.33 0.78 9.9 0.042 21 251 0.99435 3.01 0.55 11 6
7.3 0.25 0.29 7.5 0.049 38 158 0.9965 3.43 0.38 9.6 5
6.4 0.5 0.2 2.4 0.059 19 112 0.99314 3.18 0.4 9.2 6
7.8 0.28 0.34 1.6 0.028 32 118 0.9901 3 0.38 12.1 7
7.8 0.25 0.34 13.7 0.044 66 184 0.99976 3.22 0.75 8.9 5
6.8 0.16 0.36 1.3 0.034 32 98 0.99058 3.02 0.58 11.3 6
6.2 0.23 0.36 17.2 0.039 37 130 0.99946 3.23 0.43 8.8 6
7.2 0.27 0.27 2.4 0.048 30 149 0.9936 3.1 0.51 9.2 6
8.4 0.23 0.32 1.3 0.048 59 113 0.99178 3.1 0.55 11 6
7.2 0.24 0.27 1.4 0.038 31 122 0.9927 3.15 0.46 10.3 6
7.3 0.2 0.37 1.2 0.037 48 119 0.992 3.32 0.49 10.9 6
6.9 0.43 0.28 9.4 0.056 29 183 0.99594 3.17 0.43 9.4 5
5.7 0.45 0.42 1.1 0.051 61 197 0.9932 3.02 0.4 9 5
5.6 0.3 0.1 6.4 0.043 34 142 0.99382 3.14 0.48 9.8 5
6.1 0.34 0.31 12 0.053 46 238 0.9977 3.16 0.48 8.6 5
7 0.15 0.28 14.7 0.051 29 149 0.99792 2.96 0.39 9 7
7.4 0.22 0.28 9 0.046 22 121 0.99468 3.1 0.55 10.8 5
6.6 0.22 0.37 1.6 0.04 31 101 0.99009 3.15 0.66 12 5
6.8 0.17 0.35 1.8 0.04 29 84 0.98961 2.91 0.57 12 7
7.1 0.37 0.67 10.5 0.045 49 155 0.9975 3.16 0.44 8.7 5
7.7 0.29 0.48 2.3 0.049 36 178 0.9931 3.17 0.64 10.6 6
6.8 0.17 0.17 5.1 0.049 26 82 0.993 3 0.38 9.8 6
6 0.52 0.33 7.7 0.046 24 119 0.99224 3.04 0.38 11 6
8.3 0.22 0.38 14.8 0.054 32 126 1.0002 3.22 0.5 9.7 5
6.2 0.21 0.52 6.5 0.047 28 123 0.99418 3.22 0.49 9.9 6
7.1 0.28 0.26 1.9 0.049 12 86 0.9934 3.15 0.38 9.4 5
8 0.24 0.3 17.45 0.056 43 184 0.9997 3.05 0.5 9.2 6
5.3 0.36 0.27 6.3 0.028 40 132 0.99186 3.37 0.4 11.6 6
7.6 0.25 1.23 4.6 0.035 51 294 0.99018 3.03 0.43 13.1 6
6.7 0.42 0.46 9.7 0.054 67 234 0.99848 3.23 0.5 9 5
6.4 0.37 0.37 4.85 0.041 39.5 216.5 0.99432 3.1 0.5 9.8 6
6.8 0.28 0.29 11.9 0.052 51 149 0.99544 3.02 0.58 10.4 6
5.7 0.36 0.21 6.7 0.038 51 166 0.9941 3.29 0.63 10 6
6.6 0.36 0.21 1.5 0.049 39 184 0.9928 3.18 0.41 9.9 6
8.5 0.21 0.26 9.25 0.034 73 142 0.9945 3.05 0.37 11.4 6
6.6 0.22 0.23 17.3 0.047 37 118 0.99906 3.08 0.46 8.8 6
6.8 0.28 0.39 1.4 0.036 15 115 0.9918 3.27 0.72 11.7 5
6.2 0.23 0.38 1.6 0.044 12 113 0.99176 3.3 0.73 11.4 5
7.6 0.22 0.28 12 0.056 68 143 0.9983 2.99 0.3 9.2 6
5 0.31 0 6.4 0.046 43 166 0.994 3.3 0.63 9.9 6
7.6 0.16 0.41 1.9 0.047 27 151 0.9937 3.2 0.53 10.1 6
6.5 0.29 0.53 1.7 0.04 41 192 0.9922 3.26 0.59 10.4 7
6.5 0.24 0.38 1 0.027 31 90 0.98926 3.24 0.36 12.3 6
8.1 0.24 0.33 10.2 0.048 46 141 0.9972 3.16 0.48 10.3 6
5.9 0.42 0.36 2.4 0.034 19 77 0.99184 3.25 0.48 10.9 5
7.2 0.2 0.61 16.2 0.043 14 103 0.9987 3.06 0.36 9.2 6
5.5 0.34 0.26 2.2 0.021 31 119 0.98919 3.55 0.49 13 8
7 0.14 0.49 5.9 0.053 22 118 0.9954 3.36 0.36 9.4 6
6 0.27 0.3 14.7 0.044 15 144 0.99666 3.12 0.53 10.3 6
5.7 0.32 0.18 1.4 0.029 26 104 0.9906 3.44 0.37 11 6
5.5 0.35 0.35 1.1 0.045 14 167 0.992 3.34 0.68 9.9 6
5.8 0.2 0.24 1.4 0.033 65 169 0.99043 3.59 0.56 12.3 7
6.5 0.41 0.24 14 0.048 24 113 0.9982 3.44 0.53 9.8 6
8.3 0.25 0.49 16.8 0.048 50 228 1.0001 3.03 0.52 9.2 6
6.3 0.27 0.25 5.8 0.038 52 155 0.995 3.28 0.38 9.4 6
6.6 0.18 0.28 1.7 0.041 53 161 0.99207 3.13 0.45 10.2 6
9.2 0.23 0.3 1.1 0.031 40 99 0.9929 2.94 0.3 10.4 6
5.8 0.25 0.28 11.1 0.056 45 175 0.99755 3.42 0.43 9.5 5
7.2 0.19 0.31 1.4 0.046 37 135 0.9939 3.34 0.57 10.2 7
6.9 0.22 0.37 15 0.053 59 178 0.9992 3.37 0.82 9.5 7
6.2 0.38 0.42 2.5 0.038 34 117 0.99132 3.36 0.59 11.6 7
6.9 0.29 0.23 8.6 0.056 56 215 0.9967 3.17 0.44 8.8 5
6.8 0.22 0.35 17.5 0.039 38 153 0.9994 3.24 0.42 9 6
8.5 0.16 0.33 1 0.076 17 57 0.9921 3.14 0.46 10.6 6
7.4 0.25 0.37 13.5 0.06 52 192 0.9975 3 0.44 9.1 5
7 0.25 0.33 2.1 0.021 17 76 0.99021 3.26 0.45 12.3 6
7.7 0.28 0.35 15.3 0.056 31 117 0.9998 3.27 0.5 9.6 5
5.4 0.27 0.22 4.6 0.022 29 107 0.98889 3.33 0.54 13.8 6
6.4 0.35 0.35 5.6 0.034 9 148 0.99441 3.17 0.5 9.8 4
5.2 0.405 0.15 1.45 0.038 10 44 0.99125 3.52 0.4 11.6 4
6.7 0.18 0.3 6.4 0.048 40 251 0.9956 3.29 0.52 10 5
7.7 0.38 0.4 2 0.038 28 152 0.9906 3.18 0.32 12.9 6
5.3 0.31 0.38 10.5 0.031 53 140 0.99321 3.34 0.46 11.7 6
7.9 0.46 0.32 4.1 0.033 40 138 0.9912 3.18 0.44 12.8 7
6.2 0.37 0.24 6.1 0.032 19 86 0.98934 3.04 0.26 13.4 8
4.4 0.54 0.09 5.1 0.038 52 97 0.99022 3.41 0.4 12.2 7
5.7 0.385 0.04 12.6 0.034 22 115 0.9964 3.28 0.63 9.9 6
7.3 0.41 0.29 1.8 0.032 26 74 0.98889 2.96 0.35 13 8
6.4 0.17 0.3 2.8 0.034 33 125 0.99152 3.03 0.49 10.4 6
7.3 0.19 0.24 6.3 0.054 34 231 0.9964 3.36 0.54 10 6
7.4 0.44 0.2 11.5 0.049 44 157 0.998 3.27 0.44 9 5
6.6 0.16 0.36 1.1 0.031 27 93 0.98884 3.23 0.34 13.2 8
6.5 0.24 0.36 2.2 0.027 36 134 0.9898 3.28 0.36 12.5 7
7.5 0.29 0.31 8.95 0.055 20 151 0.9968 3.08 0.54 9.3 5
6 0.4 0.3 1.6 0.047 30 117 0.9931 3.17 0.48 10.1 6
7.1 0.365 0.14 1.2 0.055 24 84 0.9941 3.15 0.43 8.9 5
7.1 0.34 0.32 2 0.051 29 130 0.99354 3.3 0.5 10.4 6
6.7 0.17 0.27 1.4 0.032 39 149 0.99254 3.4 0.52 10.5 5
6.2 0.255 0.27 1.3 0.037 30 86 0.98834 3.05 0.59 12.9 7
7 0.24 0.35 1.5 0.052 51 128 0.9941 3.41 0.59 10.4 7
7.1 0.37 0.32 1.4 0.037 27 126 0.9918 3.19 0.62 12 5
5.9 0.27 0.27 9 0.051 43 136 0.9941 3.25 0.53 10.7 6
7.4 0.29 0.29 1.6 0.045 53 180 0.9936 3.34 0.68 10.5 6
6.5 0.18 0.26 1.4 0.041 40 141 0.9941 3.34 0.72 9.5 6
6.5 0.29 0.25 10.6 0.039 32 120 0.9962 3.31 0.34 10.1 6
6.9 0.38 0.29 13.65 0.048 52 189 0.99784 3 0.6 9.5 6
8.3 0.33 0.42 1.15 0.033 18 96 0.9911 3.2 0.32 12.4 3
6.1 0.32 0.24 1.5 0.036 38 124 0.9898 3.29 0.42 12.4 7
7.6 0.27 0.52 3.2 0.043 28 152 0.99129 3.02 0.53 11.4 6
6.9 0.2 0.37 6.2 0.027 24 97 0.992 3.38 0.49 12.2 7
6.3 0.27 0.37 7.9 0.047 58 215 0.99542 3.19 0.48 9.5 6
8 0.24 0.26 1.7 0.033 36 136 0.99316 3.44 0.51 10.4 7
4.4 0.46 0.1 2.8 0.024 31 111 0.98816 3.48 0.34 13.1 6
5.8 0.28 0.3 3.9 0.026 36 105 0.98963 3.26 0.58 12.75 6
6.6 0.21 0.39 2.3 0.041 31 102 0.99221 3.22 0.58 10.9 7
7.8 0.29 0.29 3.15 0.044 41 117 0.99153 3.24 0.35 11.5 5
6.1 0.23 0.45 10.6 0.094 49 169 0.99699 3.05 0.54 8.8 5
7.7 0.27 0.49 3.8 0.037 46 139 0.99116 3.04 0.38 11.6 6
6.9 0.45 0.27 4.7 0.035 17 80 0.99058 3.12 0.36 12.5 7
5.8 0.26 0.18 1.2 0.031 40 114 0.9908 3.42 0.4 11 7
7.6 0.345 0.26 1.9 0.043 15 134 0.9936 3.08 0.38 9.5 5
6.9 0.19 0.33 1.6 0.043 63 149 0.9925 3.44 0.52 10.8 5
8.1 0.3 0.49 8.1 0.037 26 174 0.9943 3.1 0.3 11.2 7
5.6 0.34 0.1 1.3 0.031 20 68 0.9906 3.36 0.51 11.2 7
7.2 0.23 0.33 12.7 0.049 50 183 0.9987 3.41 0.4 9.8 5
9.2 0.22 0.4 2.4 0.054 18 151 0.9952 3.04 0.46 9.3 4
6 0.17 0.33 6 0.036 30 111 0.99362 3.32 0.58 10.15 7
6.8 0.31 0.32 7.6 0.052 35 143 0.9959 3.14 0.38 9 5
7 0.13 0.3 5 0.056 31 122 0.9945 3.47 0.42 10.5 6
6.3 0.17 0.32 4.2 0.04 37 117 0.99182 3.24 0.43 11.3 6
7.7 0.24 0.29 15.3 0.044 39 194 0.9982 3.06 0.47 9.6 7
6.6 0.24 0.24 8.6 0.034 25 135 0.99582 3.33 0.59 10.3 6
6.9 0.18 0.38 6.5 0.039 20 110 0.9943 3.1 0.42 10.5 5
6.9 0.18 0.33 1 0.054 24 164 0.9926 3.42 0.51 10.5 5
6.1 0.38 0.14 3.9 0.06 27 113 0.99344 3.07 0.34 9.2 4
6.5 0.36 0.32 1.1 0.031 13 66 0.9916 3.1 0.46 10.6 5
6.4 0.24 0.26 8.2 0.054 47 182 0.99538 3.12 0.5 9.5 5
5.8 0.15 0.28 0.8 0.037 43 127 0.99198 3.24 0.51 9.3 5
6.8 0.18 0.32 7.2 0.047 17 109 0.99498 3.42 0.44 10.4 6
8.5 0.24 0.47 15.2 0.057 40 234 1.0005 3.02 0.66 9 5
6.3 0.18 0.36 1.2 0.034 26 111 0.99074 3.16 0.51 11 6
6.9 0.28 0.41 1.7 0.05 10 136 0.993 3.16 0.71 11.4 6
