x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 y1  
8.7 0.23 0.32 13.4 0.044 35 169 0.99975 3.12 0.47 8.8 7
6.7 0.24 0.36 8.4 0.042 42 123 0.99473 3.34 0.52 10.9 6
7.1 0.15 0.34 1 0.033 27 73 0.98974 3.24 0.41 12.2 6
7 0.24 0.3 4.2 0.04 41 213 0.9927 3.28 0.49 11.8 6
6.1 0.34 0.31 12 0.053 46 238 0.9977 3.16 0.48 8.6 5
6.9 0.24 0.33 12.5 0.046 47 153 0.9983 3.28 0.77 9.6 6
6.1 0.28 0.27 4.7 0.03 56 140 0.99042 3.16 0.42 12.5 8
5 0.31 0 6.4 0.046 43 166 0.994 3.3 0.63 9.9 6
6 0.32 0.3 7.3 0.174 46 159 0.99519 3.18 0.49 9.4 5
5.7 0.335 0.34 1 0.04 13 174 0.992 3.27 0.66 10 5
7.4 0.25 0.37 13.5 0.06 52 192 0.9975 3 0.44 9.1 5
7.4 0.16 0.49 1.2 0.055 18 150 0.9917 3.23 0.47 11.2 6
7.7 0.35 0.49 8.65 0.033 42 186 0.9931 3.14 0.38 12.4 8
7 0.24 0.35 1.5 0.052 51 128 0.9941 3.41 0.59 10.4 7
5.8 0.39 0.47 7.5 0.027 12 88 0.9907 3.38 0.45 14 6
6.6 0.46 0.49 7.4 0.052 19 184 0.9956 3.11 0.38 9 5
7.2 0.23 0.33 12.7 0.049 50 183 0.9987 3.41 0.4 9.8 5
5.9 0.21 0.23 7.9 0.033 22 130 0.9944 3.38 0.59 10.9 6
8.3 0.15 0.39 1.3 0.055 32 146 0.993 3.08 0.39 10.5 6
6.4 0.28 0.45 8.6 0.057 47 223 0.99654 3.16 0.51 9.1 5
5.9 0.22 0.29 4.2 0.037 69 144 0.99214 3.13 0.74 10.8 7
8.1 0.3 0.49 12.3 0.049 50 144 0.9971 3.09 0.57 10.2 7
5.7 0.22 0.22 16.65 0.044 39 110 0.99855 3.24 0.48 9 6
6.4 0.31 0.27 7.4 0.049 48 169 0.99323 3.27 0.45 11.1 6
5.6 0.26 0 10.2 0.038 13 111 0.99315 3.44 0.46 12.4 6
7.3 0.34 0.39 5.2 0.04 45 163 0.9925 3.3 0.47 12.4 6
7 0.36 0.25 5.7 0.015 14 73 0.98963 2.82 0.59 13.2 6
6.6 0.29 0.29 1.8 0.036 38 102 0.98819 3.08 0.42 13.7 7
6.2 0.16 0.32 1.1 0.036 74 184 0.99096 3.22 0.41 11 6
6.5 0.16 0.33 1 0.027 23 75 0.9908 3.3 0.39 11.4 7
