x1 x2 x3 y1 y2 y3 y4  
35.826 120.94 33.021 9 9.7803e+005 0.99 1321.6
57.968 125.23 30.057 31 9.5574e+005 0.97 1115.7
6.7086 151.49 25.86 17.3 9.7389e+005 0.99 1547.5
23.478 193.65 3.6681 20 8.4803e+005 0.99 1591.6
4.6616 105.02 25.367 24.3 9.7019e+005 0.98 1141.1
18.268 121.94 41.699 4.9 9.8379e+005 1 1434.2
51.878 124.09 0.63003 94.5 4.6806e+005 0.34 204.5
44.32 146.37 37.622 6.8 9.8052e+005 1 1554.6
51.191 117.38 31.092 20.3 9.7202e+005 0.98 1213.2
57.53 158.96 35.311 18.1 9.7337e+005 0.99 1428.4
7.6657 126.1 43.078 4.3 9.8484e+005 1 1488.4
0.25903 155.07 2.5849 22.4 8.2508e+005 0.98 1282.4
37.217 116.31 0.47063 32.1 7.6062e+005 0.96 753.4
36.539 116.29 14.125 28.3 9.0954e+005 0.97 1079
16.196 177.22 36.28 5.6 9.8221e+005 1 1860.9
21.96 154.39 35.632 6 9.8144e+005 1 1652.4
31.643 130.27 41.655 5.4 9.8309e+005 1 1487.2
36.371 156.74 33.751 7.7 9.7917e+005 1 1629.4
48.275 166.54 33.751 10.2 9.7716e+005 0.99 1634.9
10.754 106.48 28.106 13.9 9.7554e+005 0.99 1175.4
49.751 138.45 21.634 31.9 9.4155e+005 0.97 1272.3
11.449 104.01 11.253 27.3 8.9732e+005 0.97 965.4
1.4376 128.13 29.81 9.2 9.7863e+005 0.99 1383.7
17.696 115.43 35.527 6.2 9.8118e+005 1 1319.6
50.054 131.54 29.489 24.4 9.696e+005 0.98 1313
45.937 140.21 38.609 6.6 9.8085e+005 1 1503.5
35.034 185.76 13.945 26.3 9.1667e+005 0.98 1658.3
2.715 184.63 35.021 5.6 9.8239e+005 1 1923.5
7.4918 164.38 1.9438 22.2 8.1434e+005 0.98 1308.1
54.397 118.41 49.714 5.4 9.8385e+005 1 1373.8
18.874 130.34 11.985 25.5 9.0475e+005 0.98 1202.4
30.491 193.84 43.81 4.7 9.8429e+005 1 2047.2
18.571 170.99 19.997 26.5 9.5277e+005 0.98 1649.5
38.076 195.1 5.5944 20 8.6325e+005 0.99 1574.6
41.767 134.45 44.475 5.2 9.8362e+005 1 1532
24.237 174.44 28.021 12.2 9.7549e+005 0.99 1747
56.672 170.47 25.206 30.5 9.4523e+005 0.98 1407.6
2.6059 103.29 4.664 25.5 8.4333e+005 0.97 883
0.51819 101.17 45.785 4 9.8558e+005 1 1300.3
