x1 x2 x3 y1 y2 y3 y4  
4.5825 116.06 21.074 29.4 9.5566e+005 0.97 1193.9
14.088 149.46 29.353 9.7 9.7754e+005 0.99 1556.5
40.487 120.55 13.113 27.2 9.0289e+005 0.97 1094.7
35.396 111.87 38.512 6.3 9.8127e+005 1 1297.5
40.194 156.84 46.437 4.7 9.8446e+005 1 1744.3
30.16 147.84 24.616 24.9 9.651e+005 0.98 1471.8
18.837 146.41 33.113 6.9 9.8017e+005 1 1563.6
25.99 136.12 5.332 22.5 8.5558e+005 0.98 1129.3
30.623 155.53 12.607 25 9.0745e+005 0.98 1390.8
52.336 122.69 26.567 28.6 9.5812e+005 0.98 1191.1
47.324 164.17 30.735 14.7 9.7431e+005 0.99 1594.9
50.621 155.25 30.185 20.7 9.7165e+005 0.99 1496.6
52.216 182.15 23.399 28.2 9.4848e+005 0.98 1582.2
16.639 190.76 6.5113 19 8.7603e+005 0.99 1639.8
11.11 192.69 14.62 27.2 9.2873e+005 0.98 1778.7
22.775 170.5 48.874 3.8 9.8603e+005 1 1915.8
10.609 137.46 44.835 4.2 9.8519e+005 1 1601.7
17.834 119.49 3.6084 24.2 8.3466e+005 0.98 988
45.064 175.89 48.381 4.5 9.8482e+005 1 1897.5
36.637 138.53 46.297 4.8 9.8442e+005 1 1595.8
50.326 147.47 1.6126 59.2 7.522e+005 0.89 556.7
30.621 163.14 15.192 28.2 9.2337e+005 0.98 1495.3
39.158 147.97 16.226 29.7 9.2485e+005 0.98 1372.5
38.597 132.33 9.9298 24.2 8.8601e+005 0.98 1150.2
47.978 199.25 18.319 28.3 9.2918e+005 0.98 1674.1
1.2888 186.24 21.758 25 9.6288e+005 0.99 1812.6
19.653 115.59 24.888 25 9.6723e+005 0.98 1219.2
19.974 166.88 23.09 24.7 9.6399e+005 0.98 1642.3
53.864 187.57 31.798 18.6 9.7264e+005 0.99 1697.2
25.957 196.91 30.913 8.4 9.7834e+005 1 1957.6
30.445 180.53 17.14 28.6 9.3547e+005 0.98 1667.9
32.466 168.04 10.634 22 8.9642e+005 0.98 1458
28.882 174.53 25.75 22.7 9.7015e+005 0.99 1714
4.6951 144.02 20.535 27.4 9.5581e+005 0.98 1431.8
12.937 186.59 12.973 25.8 9.1824e+005 0.98 1699.8
3.6174 147.96 21.227 26.6 9.5898e+005 0.98 1473.1
38.172 155.38 36.478 6.7 9.8062e+005 1 1641
17.125 134.63 37.73 5.6 9.8243e+005 1 1506.7
51.277 127.27 9.6823 23.5 8.7045e+005 0.97 951.7
47.139 132.05 22.975 29.8 9.4993e+005 0.98 1262.1
58.779 104.56 46.136 9.2 9.7889e+005 0.99 1076.9
51.723 139.66 14.868 26.7 9.0291e+005 0.98 1135.1
0.029718 195.49 49.543 3.4 9.8708e+005 1 2157.5
39.991 196.22 38.355 6.1 9.817e+005 1 1996.9
48.617 116.01 18.353 32.5 9.2302e+005 0.97 1061.8
21.295 119.71 28.043 14.9 9.7469e+005 0.99 1284.6
4.0723 139.54 36.965 5.3 9.8292e+005 1 1549.2
49.806 189.92 8.5189 20.3 8.6994e+005 0.98 1309.8
4.7953 130.7 46.844 3.8 9.8595e+005 1 1565.9
40.149 152.68 20.425 28.8 9.463e+005 0.98 1456.8
54.896 192.41 45.779 5.8 9.8287e+005 1 1876.7
9.2239 104.78 26.645 20.4 9.7307e+005 0.98 1149.3
52.53 192.39 35.812 9.3 9.7804e+005 0.99 1811.9
24.065 166.09 46.836 4.1 9.8536e+005 1 1855.5
39.507 108.47 13.541 28.8 9.0338e+005 0.97 1001.5
30.084 139.89 7.9882 22.4 8.7678e+005 0.98 1193.3
51.28 167.18 5.6797 21.6 8.4311e+005 0.98 1025.9
12.434 158.28 5.3932 20.4 8.6397e+005 0.98 1341.2
44.717 146.55 44.783 5.2 9.8363e+005 1 1623.2
20.395 116.53 7.5885 23.6 8.7228e+005 0.98 1024.2
47.837 158.82 22.735 28.5 9.4898e+005 0.98 1449
52.145 102.09 44.371 6.6 9.8187e+005 0.99 1216.2
42.432 135.62 12.011 25.3 8.9773e+005 0.98 1196.2
41.46 197 31.006 10.4 9.7665e+005 0.99 1925
19.357 143.7 4.4458 21.5 8.4996e+005 0.98 1205.1
37.688 155.23 18.847 29.9 9.4009e+005 0.98 1467.3
50.589 185.95 29.749 21.2 9.7129e+005 0.99 1720.8
