x1 x2 x3 y1 y2 y3 y4  
53.342 141.63 11.317 23.5 8.7898e+005 0.98 1025.5
18.81 139.78 5.6876 21.6 8.6151e+005 0.98 1193.8
1.9505 197.66 36.875 5 9.8336e+005 1 2055.1
35.11 187 14.543 26.8 9.2014e+005 0.98 1679.1
42.157 133.36 16.241 30.1 9.2173e+005 0.98 1239.8
6.3289 188.15 0.10649 23.6 6.8764e+005 0.98 1454.1
0.3094 103.48 42.815 4.4 9.848e+005 1 1292.4
59.473 151.45 30.921 34.2 9.0582e+005 0.96 821.7
40.91 177.89 43.262 5.1 9.836e+005 1 1887.8
55.842 100.75 20.708 35.4 9.2186e+005 0.96 903.8
54.036 127.87 27.078 28.7 9.5763e+005 0.98 1210.5
20.82 151.8 17.908 29.9 9.4118e+005 0.98 1464
5.6535 180.63 0.23982 26 7.1439e+005 0.98 1391.1
59.166 169.51 45.972 14.1 9.7569e+005 0.99 1345.1
25.716 182.68 16.999 28.3 9.3712e+005 0.98 1698.7
46.795 148.71 33.833 9.3 9.7766e+005 0.99 1515.6
59.028 118.5 25.484 35.8 9.1301e+005 0.96 841.1
11.385 198.67 42.974 4.2 9.8504e+005 1 2111.5
7.8582 110.39 33.377 7 9.805e+005 0.99 1259.6
20.668 141.35 30.101 9.6 9.7759e+005 0.99 1489.7
55.19 116.2 0.4185 57.1 2.7813e+005 0 93.4
57.387 110.75 47.339 6.5 9.8194e+005 0.99 1233.4
40.039 188.22 1.3791 20.3 8.1019e+005 0.98 1341
13.563 101.51 11.239 27.5 8.9613e+005 0.97 944.2
51.169 161.79 23.937 28.3 9.5133e+005 0.98 1459.6
17.48 187.63 11.909 24.4 9.1062e+005 0.99 1693.9
14.16 130.76 47.957 4 9.8583e+005 1 1572.1
16.49 111.59 43.956 4.6 9.8452e+005 1 1367.2
58.265 172.66 46.737 6.8 9.8106e+005 1 1580.7
33.662 104.35 46.193 4.9 9.8419e+005 1 1308.7
24.701 164.89 7.4178 21.2 8.7782e+005 0.98 1415.5
7.3888 155.15 0.15338 27 7.474e+005 0.98 1141.7
22.343 149.95 4.0185 21.3 8.4543e+005 0.98 1244
20.845 180.93 34.701 6.1 9.812e+005 1 1873.5
25.329 164.24 36.397 6 9.8156e+005 1 1735.3
56.787 168.45 15.224 24 8.9359e+005 0.98 1142
40.525 177.54 1.7743 21 8.1409e+005 0.98 1293.1
20.922 116.18 1.6291 25.4 7.9764e+005 0.97 908.5
20.624 191.86 15.78 28 9.3278e+005 0.98 1786.5
