x1 x2 x3 y1 y2 y3 y4  
29.037 173.17 7.3622 20.7 8.7717e+005 0.99 1456.4
11.689 131.27 19.937 28.9 9.5147e+005 0.98 1308.6
27.41 120.02 39.283 5.7 9.8231e+005 1 1383.3
13.605 158.26 2.8276 20.6 8.3571e+005 0.98 1289.6
51.597 170.46 40.867 6.5 9.8136e+005 1 1717.2
4.2437 106 48.813 3.8 9.8619e+005 1 1369.9
29.188 114.68 27.549 20.9 9.7191e+005 0.98 1226.3
39.994 149.75 28.122 18.4 9.7255e+005 0.99 1512
57.652 198.14 3.6116 63.6 7.7029e+005 0.88 549.5
49.574 184.67 48.081 4.9 9.8437e+005 1 1920.2
25.176 157.12 43.354 4.7 9.8424e+005 1 1742.4
14.284 172.46 7.8462 20 8.8433e+005 0.99 1505.3
57.445 130.94 42.66 7.7 9.7998e+005 0.99 1327
6.5752 128.49 18.398 31.9 9.4445e+005 0.97 1276.2
42.135 160.93 47.681 4.6 9.8474e+005 1 1782.9
17.153 110.6 48.425 4.1 9.8559e+005 1 1400.5
54.249 191.81 40.147 7.1 9.805e+005 1 1820.7
14.763 189.82 29.757 8.6 9.7831e+005 1 1907.5
40.012 163.41 33.532 8.1 9.7872e+005 1 1676.1
28.644 194.56 23.531 24.3 9.6383e+005 0.99 1855.5
37.65 109.16 9.3568 25.1 8.779e+005 0.97 954.1
52.296 111.98 9.8302 25.5 8.6753e+005 0.97 844
1.1802 161.01 28.379 9.8 9.7792e+005 0.99 1656.8
20.389 130.17 13.805 27.7 9.1536e+005 0.98 1222.7
38.288 104.49 47.789 4.9 9.8441e+005 1 1319
57.962 193.07 25.544 31.4 9.3691e+005 0.98 1437.7
50.547 155.33 14.123 25 9.0128e+005 0.98 1243.5
47.971 166.1 37.814 7 9.8027e+005 1 1677.3
14.258 143.46 17.355 30.7 9.3915e+005 0.98 1389.7
0.47842 126.19 25.291 23 9.7185e+005 0.98 1327.6
2.3921 131.23 13.657 27.9 9.1712e+005 0.98 1242.4
3.3414 107.49 3.1354 25.5 8.2363e+005 0.97 892.4
37.183 142.45 27.283 21.8 9.7095e+005 0.98 1448.9
34.417 173.4 8.0699 20.7 8.8026e+005 0.99 1457.7
37.414 135.26 3.6637 23 8.3399e+005 0.98 1063
29.414 198.85 30.368 9.2 9.775e+005 1 1959.6
39.786 170.95 38.657 6 9.8173e+005 1 1789.1
