x1 x2 x3 y1 y2 y3 y4  
35.472 116.34 14.72 28.9 9.1316e+005 0.97 1088.1
4.6402 195.63 42.252 4.1 9.8505e+005 1 2086.3
17.367 132.71 1.8078 23.9 8.0823e+005 0.98 1050.1
4.7906 162.83 42.183 4.3 9.8486e+005 1 1800.8
6.9005 125.36 0.33672 29.6 7.2127e+005 0.97 936.5
40.055 133.43 28.129 20.1 9.7191e+005 0.99 1376.1
0.37836 144.85 46.218 3.8 9.8604e+005 1 1684.8
48.935 114.89 33.111 12.8 9.7556e+005 0.99 1223.5
37.327 173.06 26.935 21 9.711e+005 0.99 1701
41.137 109.61 13.444 28.6 9.0247e+005 0.97 1006
48.47 154.22 24.618 27.4 9.5596e+005 0.98 1433.6
43.303 130.17 16.863 30.9 9.2394e+005 0.97 1216.4
47.211 163.68 24.33 26.8 9.5664e+005 0.98 1519.6
0.12714 190.18 27.021 11.3 9.7694e+005 0.99 1898.9
23.1 184.85 42.391 4.7 9.8417e+005 1 1976.4
39.802 188.13 34.718 7.2 9.798e+005 1 1894.6
29.069 122.65 49.144 4.2 9.8538e+005 1 1497.6
50.991 161.66 40.481 6.5 9.8129e+005 1 1651.6
38.993 132.53 35.918 7.2 9.7998e+005 1 1442.2
22.422 129.37 29.235 11.5 9.7632e+005 0.99 1376.7
