x1 x2 x3 y1 y2 y3 y4  
35.472 116.34 14.72 28.9 9.1316e+005 0.97 1088.1
39.38 120.21 25.807 26.1 9.6463e+005 0.98 1240.6
13.888 134.63 16.467 30.9 9.3325e+005 0.98 1302
47.749 197.29 13.874 24.1 9.0494e+005 0.98 1556.5
45.564 125.44 17.452 31.6 9.2464e+005 0.97 1169.4
20.012 168.84 46.024 4.1 9.8538e+005 1 1878.7
29.99 106.27 44.883 5 9.8399e+005 1 1316.2
21.234 192.37 43.254 4.4 9.8466e+005 1 2053.2
15.034 127.49 31.756 7.9 9.7923e+005 0.99 1389.4
36.944 135.73 10.689 24.3 8.9189e+005 0.98 1192.1
29.829 148.82 49.86 4 9.8578e+005 1 1726.1
8.2435 121.33 35.986 5.8 9.8211e+005 1 1378.8
38.13 159.59 23.823 25.8 9.6086e+005 0.98 1551.5
52.781 146.43 2.0635 59.1 7.6161e+005 0.89 559.8
36.955 148.71 39.72 5.8 9.8221e+005 1 1618.3
17.565 188.23 31.199 7.5 9.7933e+005 1 1906.7
19.614 181.37 35.033 6 9.8146e+005 1 1882.2
10.938 167.81 24.403 22.6 9.7016e+005 0.99 1669.2
15.212 110.29 8.3099 24 8.7786e+005 0.98 982.9
9.42 144.3 24.121 23.5 9.6868e+005 0.98 1463.7
52.838 163.56 43.491 6.2 9.8222e+005 1 1676.8
26.98 133.15 46.583 4.4 9.8493e+005 1 1565.8
39.694 127.23 23 28.3 9.5517e+005 0.98 1270.7
3.3766 145.12 3.2203 22.3 8.3438e+005 0.98 1211.8
35.614 168.61 18.1 29.1 9.3787e+005 0.98 1573.3
42.922 167.58 21.78 27.1 9.5159e+005 0.98 1580.6
36.693 114.76 5.435 24.7 8.4828e+005 0.97 942
28.688 117.27 43.742 4.9 9.8389e+005 1 1400.9
19.988 186.16 30.921 7.9 9.7893e+005 1 1884
32.853 180.59 14.082 26.5 9.1766e+005 0.98 1618.5
3.4891 136.32 6.7954 22.1 8.7179e+005 0.98 1196.2
25.211 142.85 19.994 28.7 9.4901e+005 0.98 1394.9
26.862 192.98 6.2539 20.1 8.7186e+005 0.99 1603.3
4.7425 161.69 22.335 25.1 9.6387e+005 0.98 1601.7
0.74627 117.93 35.252 5.9 9.8209e+005 1 1346.2
13.352 100.96 40.161 5.4 9.8316e+005 1 1240.3
9.2954 139.19 24.226 23.6 9.6876e+005 0.98 1420.9
37.119 135.11 8.0701 22.9 8.7419e+005 0.98 1146.5
