x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 y1  
2.0102 0 19.58 0 0.605 7.929 96.2 2.0459 5 403 14.7 369.3 3.7 50
4.0384 0 18.1 0 0.532 6.229 90.7 3.0993 24 666 20.2 395.33 12.87 19.6
1.2325 0 8.14 0 0.538 6.142 91.7 3.9769 4 307 21 396.9 18.72 15.2
0.47547 0 9.9 0 0.544 6.113 58.8 4.0019 4 304 18.4 396.23 12.73 21
4.3488 0 18.1 0 0.58 6.167 84 3.0334 24 666 20.2 396.9 16.29 19.9
0.02055 85 0.74 0 0.41 6.383 35.7 9.1876 2 313 17.3 396.9 5.77 24.7
10.233 0 18.1 0 0.614 6.185 96.7 2.1705 24 666 20.2 379.7 18.03 14.6
5.824 0 18.1 0 0.532 6.242 64.7 3.4242 24 666 20.2 396.9 10.74 23
1.4963 0 19.58 0 0.871 5.404 100 1.5916 5 403 14.7 341.6 13.28 19.6
0.10084 0 10.01 0 0.547 6.715 81.6 2.6775 6 432 17.8 395.59 10.16 22.8
0.16211 20 6.96 0 0.464 6.24 16.3 4.429 3 223 18.6 396.9 6.59 25.2
0.06417 0 5.96 0 0.499 5.933 68.2 3.3603 5 279 19.2 396.9 9.68 18.9
0.02763 75 2.95 0 0.428 6.595 21.8 5.4011 3 252 18.3 395.63 4.32 30.8
0.22489 12.5 7.87 0 0.524 6.377 94.3 6.3467 5 311 15.2 392.52 20.45 15
14.236 0 18.1 0 0.693 6.343 100 1.5741 24 666 20.2 396.9 20.32 7.2
1.6128 0 8.14 0 0.538 6.096 96.9 3.7598 4 307 21 248.31 20.34 13.5
0.15098 0 10.01 0 0.547 6.021 82.6 2.7474 6 432 17.8 394.51 10.3 19.2
14.334 0 18.1 0 0.7 4.88 100 1.5895 24 666 20.2 372.92 30.62 10.2
2.3004 0 19.58 0 0.605 6.319 96.1 2.1 5 403 14.7 297.09 11.1 23.8
0.13262 0 8.56 0 0.52 5.851 96.7 2.1069 5 384 20.9 394.05 16.47 19.5
0.12757 30 4.93 0 0.428 6.393 7.8 7.0355 6 300 16.6 374.71 5.19 23.7
1.8338 0 19.58 1 0.605 7.802 98.2 2.0407 5 403 14.7 389.61 1.92 50
0.10659 80 1.91 0 0.413 5.936 19.5 10.586 4 334 22 376.04 5.57 20.6
0.35114 0 7.38 0 0.493 6.041 49.9 4.7211 5 287 19.6 396.9 7.7 20.4
0.09164 0 10.81 0 0.413 6.065 7.8 5.2873 4 305 19.2 390.91 5.52 22.8
0.03578 20 3.33 0 0.4429 7.82 64.5 4.6947 5 216 14.9 387.31 3.76 45.4
0.12816 12.5 6.07 0 0.409 5.885 33 6.498 4 345 18.9 396.9 8.79 20.9
