x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 y1  
2.0102 0 19.58 0 0.605 7.929 96.2 2.0459 5 403 14.7 369.3 3.7 50
1.2325 0 8.14 0 0.538 6.142 91.7 3.9769 4 307 21 396.9 18.72 15.2
4.3488 0 18.1 0 0.58 6.167 84 3.0334 24 666 20.2 396.9 16.29 19.9
10.233 0 18.1 0 0.614 6.185 96.7 2.1705 24 666 20.2 379.7 18.03 14.6
1.4963 0 19.58 0 0.871 5.404 100 1.5916 5 403 14.7 341.6 13.28 19.6
0.16211 20 6.96 0 0.464 6.24 16.3 4.429 3 223 18.6 396.9 6.59 25.2
0.02763 75 2.95 0 0.428 6.595 21.8 5.4011 3 252 18.3 395.63 4.32 30.8
14.236 0 18.1 0 0.693 6.343 100 1.5741 24 666 20.2 396.9 20.32 7.2
0.15098 0 10.01 0 0.547 6.021 82.6 2.7474 6 432 17.8 394.51 10.3 19.2
2.3004 0 19.58 0 0.605 6.319 96.1 2.1 5 403 14.7 297.09 11.1 23.8
0.12757 30 4.93 0 0.428 6.393 7.8 7.0355 6 300 16.6 374.71 5.19 23.7
0.10659 80 1.91 0 0.413 5.936 19.5 10.586 4 334 22 376.04 5.57 20.6
0.09164 0 10.81 0 0.413 6.065 7.8 5.2873 4 305 19.2 390.91 5.52 22.8
0.12816 12.5 6.07 0 0.409 5.885 33 6.498 4 345 18.9 396.9 8.79 20.9
0.13554 12.5 6.07 0 0.409 5.594 36.8 6.498 4 345 18.9 396.9 13.09 17.4
0.08707 0 12.83 0 0.437 6.14 45.8 4.0905 5 398 18.7 386.96 10.27 20.8
0.17142 0 6.91 0 0.448 5.682 33.8 5.1004 3 233 17.9 396.9 10.21 19.3
6.5388 0 18.1 1 0.631 7.016 97.5 1.2024 24 666 20.2 392.05 2.96 50
0.05023 35 6.06 0 0.4379 5.706 28.4 6.6407 1 304 16.9 394.02 12.43 17.1
4.2613 0 18.1 0 0.77 6.112 81.3 2.5091 24 666 20.2 390.74 12.67 22.6
0.21719 0 10.59 1 0.489 5.807 53.8 3.6526 4 277 18.6 390.94 16.03 22.4
2.2424 0 19.58 0 0.605 5.854 91.8 2.422 5 403 14.7 395.11 11.64 22.7
3.5687 0 18.1 0 0.58 6.437 75 2.8965 24 666 20.2 393.37 14.36 23.2
0.04527 0 11.93 0 0.573 6.12 76.7 2.2875 1 273 21 396.9 9.08 20.6
5.67 0 18.1 1 0.631 6.683 96.8 1.3567 24 666 20.2 375.33 3.73 50
0.01432 100 1.32 0 0.411 6.816 40.5 8.3248 5 256 15.1 392.9 3.95 31.6
0.80271 0 8.14 0 0.538 5.456 36.6 3.7965 4 307 21 288.99 11.69 20.2
0.11069 0 13.89 1 0.55 5.951 93.8 2.8893 5 276 16.4 396.9 17.92 21.5
0.0187 85 4.15 0 0.429 6.516 27.7 8.5353 4 351 17.9 392.43 6.36 23.1
0.07165 0 25.65 0 0.581 6.004 84.1 2.1974 2 188 19.1 377.67 14.27 20.3
0.12579 45 3.44 0 0.437 6.556 29.1 4.5667 5 398 15.2 382.84 4.56 29.8
2.924 0 19.58 0 0.605 6.101 93 2.2834 5 403 14.7 240.16 9.81 25
0.09065 20 6.96 1 0.464 5.92 61.5 3.9175 3 223 18.6 391.34 13.65 20.7
0.1676 0 7.38 0 0.493 6.426 52.3 4.5404 5 287 19.6 396.9 7.2 23.8
0.33147 0 6.2 0 0.507 8.247 70.4 3.6519 8 307 17.4 378.95 3.95 48.3
6.7177 0 18.1 0 0.713 6.749 92.6 2.3236 24 666 20.2 0.32 17.44 13.4
0.2896 0 9.69 0 0.585 5.39 72.9 2.7986 6 391 19.2 396.9 21.14 19.7
0.23912 0 9.69 0 0.585 6.019 65.3 2.4091 6 391 19.2 396.9 12.92 21.2
13.678 0 18.1 0 0.74 5.935 87.9 1.8206 24 666 20.2 68.95 34.02 8.4
8.2481 0 18.1 0 0.713 7.393 99.3 2.4527 24 666 20.2 375.87 16.74 17.8
