x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 y1  
2.0102 0 19.58 0 0.605 7.929 96.2 2.0459 5 403 14.7 369.3 3.7 50
4.3488 0 18.1 0 0.58 6.167 84 3.0334 24 666 20.2 396.9 16.29 19.9
1.4963 0 19.58 0 0.871 5.404 100 1.5916 5 403 14.7 341.6 13.28 19.6
0.02763 75 2.95 0 0.428 6.595 21.8 5.4011 3 252 18.3 395.63 4.32 30.8
0.15098 0 10.01 0 0.547 6.021 82.6 2.7474 6 432 17.8 394.51 10.3 19.2
0.12757 30 4.93 0 0.428 6.393 7.8 7.0355 6 300 16.6 374.71 5.19 23.7
0.09164 0 10.81 0 0.413 6.065 7.8 5.2873 4 305 19.2 390.91 5.52 22.8
0.13554 12.5 6.07 0 0.409 5.594 36.8 6.498 4 345 18.9 396.9 13.09 17.4
0.17142 0 6.91 0 0.448 5.682 33.8 5.1004 3 233 17.9 396.9 10.21 19.3
0.05023 35 6.06 0 0.4379 5.706 28.4 6.6407 1 304 16.9 394.02 12.43 17.1
0.21719 0 10.59 1 0.489 5.807 53.8 3.6526 4 277 18.6 390.94 16.03 22.4
3.5687 0 18.1 0 0.58 6.437 75 2.8965 24 666 20.2 393.37 14.36 23.2
5.67 0 18.1 1 0.631 6.683 96.8 1.3567 24 666 20.2 375.33 3.73 50
0.80271 0 8.14 0 0.538 5.456 36.6 3.7965 4 307 21 288.99 11.69 20.2
0.0187 85 4.15 0 0.429 6.516 27.7 8.5353 4 351 17.9 392.43 6.36 23.1
0.12579 45 3.44 0 0.437 6.556 29.1 4.5667 5 398 15.2 382.84 4.56 29.8
0.09065 20 6.96 1 0.464 5.92 61.5 3.9175 3 223 18.6 391.34 13.65 20.7
0.33147 0 6.2 0 0.507 8.247 70.4 3.6519 8 307 17.4 378.95 3.95 48.3
0.2896 0 9.69 0 0.585 5.39 72.9 2.7986 6 391 19.2 396.9 21.14 19.7
13.678 0 18.1 0 0.74 5.935 87.9 1.8206 24 666 20.2 68.95 34.02 8.4
