x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 y1  
1.4963 0 19.58 0 0.871 5.404 100 1.5916 5 403 14.7 341.6 13.28 19.6
0.75026 0 8.14 0 0.538 5.924 94.1 4.3996 4 307 21 394.33 16.3 15.6
14.438 0 18.1 0 0.597 6.852 100 1.4655 24 666 20.2 179.36 19.78 27.5
0.30347 0 7.38 0 0.493 6.312 28.9 5.4159 5 287 19.6 396.9 6.15 23
3.4743 0 18.1 1 0.718 8.78 82.9 1.9047 24 666 20.2 354.55 5.29 21.9
0.16211 20 6.96 0 0.464 6.24 16.3 4.429 3 223 18.6 396.9 6.59 25.2
23.648 0 18.1 0 0.671 6.38 96.2 1.3861 24 666 20.2 396.9 23.69 13.1
15.86 0 18.1 0 0.679 5.896 95.4 1.9096 24 666 20.2 7.68 24.39 8.3
0.28392 0 7.38 0 0.493 5.708 74.3 4.7211 5 287 19.6 391.13 11.74 18.5
0.06617 0 3.24 0 0.46 5.868 25.8 5.2146 4 430 16.9 382.44 9.97 19.3
0.02763 75 2.95 0 0.428 6.595 21.8 5.4011 3 252 18.3 395.63 4.32 30.8
1.4634 0 19.58 0 0.605 7.489 90.8 1.9709 5 403 14.7 374.43 1.73 50
22.597 0 18.1 0 0.7 5 89.5 1.5184 24 666 20.2 396.9 31.99 7.4
0.08447 0 4.05 0 0.51 5.859 68.7 2.7019 5 296 16.6 393.23 9.64 22.6
0.01311 90 1.22 0 0.403 7.249 21.9 8.6966 5 226 17.9 395.93 4.81 35.4
14.236 0 18.1 0 0.693 6.343 100 1.5741 24 666 20.2 396.9 20.32 7.2
0.55007 20 3.97 0 0.647 7.206 91.6 1.9301 5 264 13 387.89 8.1 36.5
1.2074 0 19.58 0 0.605 5.875 94.6 2.4259 5 403 14.7 292.29 14.43 17.4
0.02731 0 7.07 0 0.469 6.421 78.9 4.9671 2 242 17.8 396.9 9.14 21.6
0.43571 0 10.59 1 0.489 5.344 100 3.875 4 277 18.6 396.9 23.09 20
0.15098 0 10.01 0 0.547 6.021 82.6 2.7474 6 432 17.8 394.51 10.3 19.2
0.06911 45 3.44 0 0.437 6.739 30.8 6.4798 5 398 15.2 389.71 4.69 30.5
0.03113 0 4.39 0 0.442 6.014 48.5 8.0136 3 352 18.8 385.64 10.53 17.5
0.10612 30 4.93 0 0.428 6.095 65.1 6.3361 6 300 16.6 394.62 12.4 20.1
28.656 0 18.1 0 0.597 5.155 100 1.5894 24 666 20.2 210.97 20.08 16.3
2.3004 0 19.58 0 0.605 6.319 96.1 2.1 5 403 14.7 297.09 11.1 23.8
8.2673 0 18.1 1 0.668 5.875 89.6 1.1296 24 666 20.2 347.88 8.88 50
0.04301 80 1.91 0 0.413 5.663 21.9 10.586 4 334 22 382.8 8.05 18.2
5.2931 0 18.1 0 0.7 6.051 82.5 2.1678 24 666 20.2 378.38 18.76 23.2
0.03615 80 4.95 0 0.411 6.63 23.4 5.1167 4 245 19.2 396.9 4.7 27.9
0.12757 30 4.93 0 0.428 6.393 7.8 7.0355 6 300 16.6 374.71 5.19 23.7
1.3547 0 8.14 0 0.538 6.072 100 4.175 4 307 21 376.73 13.04 14.5
0.26169 0 9.9 0 0.544 6.023 90.4 2.834 4 304 18.4 396.3 11.72 19.4
1.2735 0 19.58 1 0.605 6.25 92.6 1.7984 5 403 14.7 338.92 5.5 27
0.57834 20 3.97 0 0.575 8.297 67 2.4216 5 264 13 384.54 7.44 50
0.10659 80 1.91 0 0.413 5.936 19.5 10.586 4 334 22 376.04 5.57 20.6
0.01501 90 1.21 1 0.401 7.923 24.8 5.885 1 198 13.6 395.52 3.16 50
0.1 34 6.09 0 0.433 6.982 17.7 5.4917 7 329 16.1 390.43 4.86 33.1
0.11747 12.5 7.87 0 0.524 6.009 82.9 6.2267 5 311 15.2 396.9 13.27 18.9
88.976 0 18.1 0 0.671 6.968 91.9 1.4165 24 666 20.2 396.9 17.21 10.4
0.09164 0 10.81 0 0.413 6.065 7.8 5.2873 4 305 19.2 390.91 5.52 22.8
0.14932 25 5.13 0 0.453 5.741 66.2 7.2254 8 284 19.7 395.11 13.15 18.7
7.672 0 18.1 0 0.693 5.747 98.9 1.6334 24 666 20.2 393.1 19.92 8.5
0.82526 20 3.97 0 0.647 7.327 94.5 2.0788 5 264 13 393.42 11.25 31
0.08387 0 12.83 0 0.437 5.874 36.6 4.5026 5 398 18.7 396.06 9.1 20.3
0.12816 12.5 6.07 0 0.409 5.885 33 6.498 4 345 18.9 396.9 8.79 20.9
25.941 0 18.1 0 0.679 5.304 89.1 1.6475 24 666 20.2 127.36 26.64 10.4
0.01538 90 3.75 0 0.394 7.454 34.2 6.3361 3 244 15.9 386.34 3.11 44
0.07022 0 4.05 0 0.51 6.02 47.2 3.5549 5 296 16.6 393.23 10.11 23.2
0.20746 0 27.74 0 0.609 5.093 98 1.8226 4 711 20.1 318.43 29.68 8.1
0.13554 12.5 6.07 0 0.409 5.594 36.8 6.498 4 345 18.9 396.9 13.09 17.4
0.36894 22 5.86 0 0.431 8.259 8.4 8.9067 7 330 19.1 396.9 3.54 42.8
1.1266 0 19.58 1 0.871 5.012 88 1.6102 5 403 14.7 343.28 12.12 15.3
6.8012 0 18.1 0 0.713 6.081 84.4 2.7175 24 666 20.2 396.9 14.7 20
0.04741 0 11.93 0 0.573 6.03 80.8 2.505 1 273 21 396.9 7.88 11.9
0.08707 0 12.83 0 0.437 6.14 45.8 4.0905 5 398 18.7 386.96 10.27 20.8
0.13058 0 10.01 0 0.547 5.872 73.1 2.4775 6 432 17.8 338.63 15.37 20.4
0.46296 0 6.2 0 0.504 7.412 76.9 3.6715 8 307 17.4 376.14 5.25 31.7
0.0837 45 3.44 0 0.437 7.185 38.9 4.5667 5 398 15.2 396.9 5.39 34.9
20.716 0 18.1 0 0.659 4.138 100 1.1781 24 666 20.2 370.22 23.34 11.9
0.17142 0 6.91 0 0.448 5.682 33.8 5.1004 3 233 17.9 396.9 10.21 19.3
0.59005 0 21.89 0 0.624 6.372 97.9 2.3274 4 437 21.2 385.76 11.12 23
0.38735 0 25.65 0 0.581 5.613 95.6 1.7572 2 188 19.1 359.29 27.26 15.7
0.0578 0 2.46 0 0.488 6.98 58.4 2.829 3 193 17.8 396.9 5.04 37.2
4.7524 0 18.1 0 0.713 6.525 86.5 2.4358 24 666 20.2 50.92 18.13 14.1
6.5388 0 18.1 1 0.631 7.016 97.5 1.2024 24 666 20.2 392.05 2.96 50
0.15936 0 6.91 0 0.448 6.211 6.5 5.7209 3 233 17.9 394.46 7.44 24.7
12.048 0 18.1 0 0.614 5.648 87.6 1.9512 24 666 20.2 291.55 14.1 20.8
0.04819 80 3.64 0 0.392 6.108 32 9.2203 1 315 16.4 392.89 6.57 21.9
0.25387 0 6.91 0 0.448 5.399 95.3 5.87 3 233 17.9 396.9 30.81 14.4
0.05023 35 6.06 0 0.4379 5.706 28.4 6.6407 1 304 16.9 394.02 12.43 17.1
0.09849 0 25.65 0 0.581 5.879 95.8 2.0063 2 188 19.1 379.38 17.58 18.8
0.12932 0 13.92 0 0.437 6.678 31.1 5.9604 4 289 16 396.9 6.27 28.6
5.8212 0 18.1 0 0.713 6.513 89.9 2.8016 24 666 20.2 393.82 10.29 20.2
0.14052 0 10.59 0 0.489 6.375 32.3 3.9454 4 277 18.6 385.81 9.38 28.1
4.2613 0 18.1 0 0.77 6.112 81.3 2.5091 24 666 20.2 390.74 12.67 22.6
