x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 y1 y2 y3 y4  
0.708 0.15 0.066 0.016 0.264 0.014 0.508 0.316 0.73 0.954 0.548 0.6 0.664 0.352 0.446 0.32788 -0.50087 0.021327 0.033894
0.872 0.562 0.216 0.112 0.64 0.55 0.468 0.392 0.386 0.646 0.93 0.046 0.004 0.928 0.422 0.15601 -0.47402 0.021328 0.03352
0.226 0.346 0.624 0.334 0.058 0.046 0.244 0.772 0.082 0.296 0.552 0.786 0.058 0.706 0.758 2.5057 -0.51048 0.022036 0.036187
0.054 0.552 0.538 0.74 0.974 0.268 0.218 0.91 0.676 1 0.746 0.222 0.312 0.492 0.51 1.7976 -0.51062 0.022642 0.034572
0.548 0.812 0.6 0.014 0.178 0.882 0.596 0.592 0.692 0.07 0.192 0.74 0.01 0.26 0.518 0.98682 -0.38477 0.021384 0.023518
0.658 0.132 0.576 0.768 0.758 0 0.884 0.398 0.66 0.858 0.262 0.292 0.144 0.124 0.302 1.9707 -0.41225 0.021114 0.030979
0.398 0.03 0.01 0.756 0.482 0.17 0.144 0.526 0.568 0.148 0.362 0.378 0.688 0.442 0.99 2.031 -0.46618 0.021388 0.026004
0.46 0.682 0.83 0.514 0.024 0.404 0.444 0.008 0.054 0.506 0.094 0.544 0.518 0.744 0.88 2.0602 -0.58532 0.021069 0.024263
0.968 0.052 0.318 0.714 0.468 0.534 0.152 0.314 0.966 0.508 0.962 0.548 0.636 0.842 0.576 1.8025 -0.46001 0.021665 0.031604
0.452 0.9 0.88 0.034 0.14 0.154 0.56 0.638 0.956 0.526 0.62 0.844 0.298 0.85 0.392 0.80079 -0.59677 0.021495 0.035005
