x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 y1 y2 y3 y4  
0.61 0.14 0.112 0.542 0.296 0.866 0.386 0.338 0.91 0.33 0.864 0.668 0.002 0.176 0.334 1.131 -0.3295 0.021246 0.024856
0.872 0.562 0.216 0.112 0.64 0.55 0.468 0.392 0.386 0.646 0.93 0.046 0.004 0.928 0.422 0.15601 -0.47402 0.021328 0.03352
0.638 0.48 0.248 0.734 0.304 0.57 0.08 0.598 0.016 0.154 0.12 0.43 0.912 0.99 0.528 2.0274 -0.5326 0.021521 0.024541
0.944 0.614 0.044 0.782 0.28 0.27 0.46 0.538 0.16 0.126 0.556 0.374 0.988 0.236 0.172 1.6205 -0.44816 0.02111 0.023067
0.964 0.356 0.432 0.386 0.436 0.384 0.012 0.16 0.106 0.522 0.628 0.624 0.938 0.118 0.79 0.72735 -0.27843 0.021989 0.03628
0.192 0.864 0.09 0.544 0.704 0.802 0.544 0.776 0.424 0.844 0.758 0.944 0.552 0.374 0.942 1.4665 -0.54851 0.022115 0.027983
0.008 0.686 0.08 0.838 0.946 0.876 0.516 0.488 0.416 0.448 0.862 0.152 0.51 0.614 0.426 2.3329 -0.51789 0.022073 0.027656
0.448 0.738 0.814 0.342 0.772 0.018 0.914 0.416 0.302 0.692 0.714 0.134 0.9 0.6 0.802 3.4063 -0.56718 0.02073 0.025543
0.836 0.594 0.702 0.096 0.474 0.408 0.3 0.492 0.874 0.08 0.612 0.194 0.538 0.984 0.038 0.5462 -0.44457 0.021125 0.025584
0.056 0.454 0.034 0.098 0.53 0.186 0.676 0.378 0.198 0.548 0.268 0.812 0.756 0.884 0.662 1.4455 -0.72159 0.020468 0.026069
0.658 0.132 0.576 0.768 0.758 0 0.884 0.398 0.66 0.858 0.262 0.292 0.144 0.124 0.302 1.9707 -0.41225 0.021114 0.030979
0.29 0.87 0.726 0.742 0.85 0.816 0.876 0.478 0.92 0.44 0.976 0.76 0.78 0.282 0.604 1.3355 -0.3751 0.021136 0.024289
0.132 0.24 0.7 0.618 0.956 0.392 0.604 0.348 0.804 0.592 0.092 0.902 0.708 0.372 0.028 2.7492 -0.39483 0.021 0.022722
0.768 0.536 0.176 0.422 1 0.682 0.722 0.59 0.786 0.906 0.658 0.202 0.112 0.028 0.642 3.827 -0.53563 0.021284 0.026051
0.848 0.088 0.226 0.608 0.42 0.702 0.632 0.278 0.578 0.328 0.086 0.116 0.066 0.262 0.956 1.6449 -0.53752 0.021303 0.023901
0.336 0.664 0.856 0.796 0.154 0.328 0.778 0.418 0.668 0.832 0.476 0.978 0.952 0.836 0.18 1.9115 -0.58422 0.02192 0.0368
0.988 0.626 0.296 0.946 0.55 0.86 0.634 0.214 0.494 0.188 0.956 0.874 0.528 0.232 0.448 0.74451 -0.36498 0.021323 0.024855
0.338 0.518 0.954 0.932 0.532 0.038 0.124 0.3 0.018 0.502 0.408 0.822 0.654 0.702 0.328 0.98199 -0.43199 0.021209 0.027758
0.15 0.314 0.662 0.708 0.05 0.6 0.058 0.412 0.564 0.212 0.38 0.794 0.946 0.06 0.524 0.70163 -0.3258 0.021318 0.024685
0.452 0.9 0.88 0.034 0.14 0.154 0.56 0.638 0.956 0.526 0.62 0.844 0.298 0.85 0.392 0.80079 -0.59677 0.021495 0.035005
