x0 y0 
0.67302 0.60176
0.76943 0.88491
0.2261 0.1007
0.24675 0.10937
0.96188 0.52334
0.96057 0.52609
0.18655 0.085966
0.69791 0.66474
0.56953 0.39777
0.50445 0.30661
0.049881 0.049763
0.28564 0.12778
0.40446 0.20553
0.33 0.15259
0.066357 0.053153
0.73793 0.78015
0.51127 0.31509
0.96155 0.52404
0.26419 0.11727
0.62591 0.4984
0.050156 0.049818
0.37127 0.17998
0.39894 0.20105
0.61288 0.47308
0.1685 0.079979
0.82045 0.92147
0.10855 0.062927
0.50197 0.30357
0.42998 0.22762
0.75385 0.83143
0.62689 0.50035
0.94542 0.55896
0.11922 0.065669
0.88372 0.71542
0.79065 0.96331
0.88627 0.70816
0.035906 0.047058
0.81407 0.94527
0.58448 0.42229
0.56795 0.39526
