x0 y0 
0 0.049146
0.001001 0.17448
0.002002 0.20292
0.003003 0.22227
0.004004 0.2373
0.005005 0.24974
0.006006 0.2604
0.007007 0.26976
0.008008 0.27811
0.009009 0.28567
0.01001 0.29256
0.011011 0.29889
0.012012 0.30474
0.013013 0.31018
0.014014 0.31525
0.015015 0.31999
0.016016 0.32444
0.017017 0.32863
0.018018 0.33257
0.019019 0.33628
0.02002 0.33979
0.021021 0.3431
0.022022 0.34623
0.023023 0.3492
0.024024 0.352
0.025025 0.35465
0.026026 0.35716
0.027027 0.35953
0.028028 0.36177
0.029029 0.36388
0.03003 0.36587
0.031031 0.36775
0.032032 0.36952
0.033033 0.37118
0.034034 0.37274
0.035035 0.3742
0.036036 0.37556
0.037037 0.37684
0.038038 0.37802
0.039039 0.37912
0.04004 0.38015
0.041041 0.38109
0.042042 0.38197
0.043043 0.38277
0.044044 0.38351
0.045045 0.38419
0.046046 0.38481
0.047047 0.38538
0.048048 0.3859
0.049049 0.38637
0.05005 0.38681
0.051051 0.3872
0.052052 0.38757
0.053053 0.3879
0.054054 0.38821
0.055055 0.38849
0.056056 0.38876
0.057057 0.38901
0.058058 0.38925
0.059059 0.38947
0.06006 0.38969
0.061061 0.38991
0.062062 0.39012
0.063063 0.39033
0.064064 0.39055
0.065065 0.39076
0.066066 0.39098
0.067067 0.3912
0.068068 0.39143
0.069069 0.39167
0.07007 0.39191
0.071071 0.39216
0.072072 0.39242
0.073073 0.39269
0.074074 0.39296
0.075075 0.39324
0.076076 0.39354
0.077077 0.39384
0.078078 0.39414
0.079079 0.39446
0.08008 0.39478
0.081081 0.39511
0.082082 0.39545
0.083083 0.39579
0.084084 0.39614
0.085085 0.3965
0.086086 0.39686
0.087087 0.39722
0.088088 0.3976
0.089089 0.39797
0.09009 0.39835
0.091091 0.39873
0.092092 0.39912
0.093093 0.39951
0.094094 0.3999
0.095095 0.4003
0.096096 0.4007
0.097097 0.40109
0.098098 0.40149
0.099099 0.4019
0.1001 0.4023
0.1011 0.4027
0.1021 0.4031
0.1031 0.40351
0.1041 0.40391
0.10511 0.40431
0.10611 0.40472
0.10711 0.40512
0.10811 0.40552
0.10911 0.40592
0.11011 0.40632
0.11111 0.40671
0.11211 0.40711
0.11311 0.40751
0.11411 0.4079
0.11512 0.40829
0.11612 0.40868
0.11712 0.40907
0.11812 0.40945
0.11912 0.40983
0.12012 0.41021
0.12112 0.41059
0.12212 0.41097
0.12312 0.41134
0.12412 0.41171
0.12513 0.41208
0.12613 0.41245
0.12713 0.41281
0.12813 0.41317
0.12913 0.41353
0.13013 0.41388
0.13113 0.41423
0.13213 0.41458
0.13313 0.41493
0.13413 0.41527
0.13514 0.41561
0.13614 0.41595
0.13714 0.41628
0.13814 0.41662
0.13914 0.41694
0.14014 0.41727
0.14114 0.41759
0.14214 0.41791
0.14314 0.41823
0.14414 0.41854
0.14515 0.41886
0.14615 0.41916
0.14715 0.41947
0.14815 0.41977
0.14915 0.42007
0.15015 0.42037
0.15115 0.42067
0.15215 0.42096
0.15315 0.42125
0.15415 0.42153
0.15516 0.42182
0.15616 0.4221
0.15716 0.42238
0.15816 0.42265
0.15916 0.42293
0.16016 0.4232
0.16116 0.42347
0.16216 0.42374
0.16316 0.424
0.16416 0.42426
0.16517 0.42452
0.16617 0.42478
0.16717 0.42504
0.16817 0.42529
0.16917 0.42554
0.17017 0.42579
0.17117 0.42604
0.17217 0.42629
0.17317 0.42653
0.17417 0.42677
0.17518 0.42702
0.17618 0.42725
0.17718 0.42749
0.17818 0.42773
0.17918 0.42796
0.18018 0.4282
0.18118 0.42843
0.18218 0.42866
0.18318 0.42889
0.18418 0.42912
0.18519 0.42934
0.18619 0.42957
0.18719 0.42979
0.18819 0.43002
0.18919 0.43024
0.19019 0.43046
0.19119 0.43068
0.19219 0.4309
0.19319 0.43112
0.19419 0.43134
0.1952 0.43156
0.1962 0.43178
0.1972 0.432
0.1982 0.43222
0.1992 0.43244
0.2002 0.43265
0.2012 0.43287
0.2022 0.43309
0.2032 0.43331
0.2042 0.43353
0.20521 0.43374
0.20621 0.43396
0.20721 0.43418
0.20821 0.4344
0.20921 0.43462
0.21021 0.43484
0.21121 0.43506
0.21221 0.43528
0.21321 0.43551
0.21421 0.43573
0.21522 0.43595
0.21622 0.43618
0.21722 0.4364
0.21822 0.43663
0.21922 0.43686
0.22022 0.43709
0.22122 0.43732
0.22222 0.43755
0.22322 0.43779
0.22422 0.43802
0.22523 0.43826
0.22623 0.4385
0.22723 0.43874
0.22823 0.43898
0.22923 0.43923
0.23023 0.43947
0.23123 0.43972
0.23223 0.43997
0.23323 0.44022
0.23423 0.44048
0.23524 0.44073
0.23624 0.44099
0.23724 0.44126
0.23824 0.44152
0.23924 0.44179
0.24024 0.44206
0.24124 0.44233
0.24224 0.4426
0.24324 0.44288
0.24424 0.44316
0.24525 0.44345
0.24625 0.44373
0.24725 0.44402
0.24825 0.44431
0.24925 0.44461
0.25025 0.44491
0.25125 0.44521
0.25225 0.44552
0.25325 0.44583
0.25425 0.44614
0.25526 0.44645
0.25626 0.44677
0.25726 0.4471
0.25826 0.44742
0.25926 0.44775
0.26026 0.44809
0.26126 0.44842
0.26226 0.44876
0.26326 0.44911
0.26426 0.44946
0.26527 0.44981
0.26627 0.45017
0.26727 0.45053
0.26827 0.45089
0.26927 0.45126
0.27027 0.45163
0.27127 0.45201
0.27227 0.45239
0.27327 0.45278
0.27427 0.45317
0.27528 0.45356
0.27628 0.45396
0.27728 0.45436
0.27828 0.45476
0.27928 0.45517
0.28028 0.45559
0.28128 0.456
0.28228 0.45643
0.28328 0.45685
0.28428 0.45728
0.28529 0.45772
