x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10  
11.791 11.017 5.9402 2.0185 13.94 3.1729 1.2005 1.7193 0.084849 0.64543 0.062988 0.0059342 0.046674 21.417 12.651 14.191 0.33051 4.69e-005 0.0029547 0.016841 2.5619 0.41026 2.1052 1.8786 0.7445 7.8122 3.6908 0.22562 2.9939 1.3047
7.9787 6.0085 12.114 1.5746 11.167 6.626 12.254 0.74521 0.26837 1.2035 0.035828 0.008528 0.11258 1.4113 54.564 22.314 0.34761 7.42e-005 0.0022184 0.031982 2.611 0.084378 2.2747 1.5561 0.85788 7.7759 3.8223 0.10358 2.746 1.4536
10.859 5.0413 2.696 7.8044 14.865 3.0501 14.521 0.69922 1.5591 0.63315 0.060529 0.10665 0.0098107 31.967 22.141 3.8377 0.32956 1.5e-005 0.0023544 0.071582 2.5985 0.44699 2.1119 1.9199 0.69938 7.8283 3.8658 0.13943 2.8429 1.5473
14.997 10.15 1.3745 13.481 7.9955 14.9 12.986 1.2836 1.2684 0.54281 0.091232 0.094307 0.01482 15.107 139.29 1.8814 0.35944 9.79e-005 0.0056936 0.055503 2.6628 0.38741 2.1566 1.5262 0.68959 7.7975 3.8473 0.16172 2.768 1.4799
4.975 17.72 5.4052 10.88 10.579 14.965 5.6766 1.5461 0.65094 1.0641 0.023575 0.045551 0.052424 20.909 16.027 2.6549 0.34122 1.85e-005 0.0013746 0.08641 2.171 0.24253 2.2047 2.7455 2.3251 6.9867 4.5415 0.10939 2.5807 1.6014
6.6552 8.0425 7.4952 10.277 9.4704 2.1152 1.06 1.3244 0.49642 1.7078 0.091529 0.036196 0.16106 0.16861 23.4 26.198 0.30709 6.27e-005 0.0038699 0.098622 1.9629 6.91e-005 2.1563 1.9885 2.7754 7.2381 4.1548 0.062571 1.5103 1.5758
11.02 12.995 8.8319 10.21 1.3546 9.8104 14.325 0.90457 0.25116 1.4387 0.054556 0.0061027 0.069613 16.969 17.124 49.238 0.36479 5.15e-005 0.0031524 0.073196 2.3935 0.38532 2.1548 2.6389 1.2947 7.5932 3.9739 0.20318 2.8502 1.4086
6.3181 12.327 2.2144 10.313 14.005 1.891 8.7789 1.1997 1.0996 1.9289 0.079141 0.084941 0.037274 3.6755 22.941 4.397 0.30844 5.41e-005 0.0051615 0.070957 2.1335 0.013913 2.555 2.0707 2.985 7.4665 4.2345 0.039344 2.3214 1.6955
6.8298 17.667 5.9816 5.6412 8.6224 1.551 12.392 1.3621 1.4846 0.40805 0.10107 0.12479 0.020247 28.181 24.571 9.1036 0.33313 4.72e-005 0.0096807 0.016039 2.554 0.42788 2.114 1.8652 0.73377 7.8377 3.7843 0.21627 2.902 1.3476
12.931 12.976 11.019 10.167 11.44 8.6245 10.93 0.91163 0.59499 1.9305 0.078739 0.05625 0.15927 1.7846 9.2674 7.5907 0.31799 8.18e-005 0.0034125 0.08806 1.4444 0.031788 3.1829 1.056 3.536 6.5706 4.2531 0.037466 2.3552 1.4849
