x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10  
1.0063 6.7918 3.324 12.708 5.055 14.814 9.0954 1.8835 1.5946 0.42321 0.082569 0.10568 0.01315 10.846 8.1161 45.178 0.33412 2.75e-005 0.0063756 0.026395 2.3487 0.26582 2.2233 2.6925 2.0352 7.4476 4.1036 0.083949 3.0186 1.2411
6.1711 13.862 13.531 2.8772 6.9963 2.5393 10.266 0.59566 1.3033 1.2441 0.047711 0.12227 0.018851 6.8691 7.1804 16.111 0.34552 6.75e-005 0.0011381 0.094135 1.8778 0.0021964 2.1663 0.079788 2.6678 5.9106 4.609 0.0072494 2.1575 1.3736
6.9361 5.082 9.7847 12.422 11.889 12.65 7.5451 1.2856 0.95305 1.3619 0.077081 0.01777 0.050077 8.0212 0.42984 18.613 0.36795 2.65e-005 0.0086321 0.030572 1.6812 0.19783 2.2182 1.4369 1.9862 7.1015 4.2888 0.24307 2.4452 0.94545
4.3895 5.6542 4.2715 10.319 1.8242 14.494 13.264 1.4391 0.83036 1.794 0.036349 0.05113 0.089897 29.021 19.854 20.419 0.31117 8.99e-005 0.008505 0.035337 2.5822 0.41524 2.12 1.9809 0.73309 7.8587 3.8738 0.16135 2.9958 1.445
3.9174 9.2974 5.4829 13.266 13.354 5.8196 2.0255 1.4132 0.15067 0.89832 0.071052 0.0035504 0.052498 45.205 0.90406 4.5957 0.34348 1.58e-005 0.0011431 0.054572 2.1524 0.44461 2.1225 2.2628 2.5484 5.6429 6.1836 0.11311 2.8734 1.0028
7.4673 13.12 1.0963 3.2839 4.8175 5.9119 13.995 0.75841 1.2244 0.36924 0.074156 0.028633 0.032671 2.7531 45.986 31.394 0.34002 1.45e-006 0.0079978 0.088138 2.2182 8.59e-005 1.6151 1.8199 1.7729 7.5931 3.9935 0.05245 2.3913 1.602
10.717 9.3354 6.2439 11.572 10.542 9.6644 8.1727 1.9838 0.33601 0.91972 0.15057 0.0065727 0.039176 14.935 41.654 12.136 0.3293 5.42e-005 0.0088356 0.04783 2.5936 0.35594 2.1503 1.75 0.7154 7.8429 3.8493 0.17453 2.8657 1.4911
7.7277 17.839 3.3884 5.4941 11.067 5.4947 6.5375 0.85953 0.64486 1.98 0.026001 0.046174 0.13296 2.6801 12.486 6.5474 0.36633 6.09e-006 0.005965 0.023911 1.9832 0.21341 2.4034 2.1714 2.0085 7.5238 3.8728 0.3447 2.6938 1.2281
10.512 18.774 12.328 12.152 9.2533 12.6 10.145 0.39704 1.827 1.9576 0.027785 0.17456 0.17924 56.29 12.516 21.43 0.31301 2.68e-005 0.0020406 0.085984 2.2542 0.42674 2.1182 3.1599 1.8197 7.2493 4.1461 0.22157 2.8836 1.4023
5.0674 19.74 1.9316 8.9232 3.5823 2.5983 7.3278 0.25114 0.4946 0.76681 0.013803 0.041989 0.040399 5.3198 32.458 37.237 0.34391 6.36e-005 0.007926 0.083309 2.1085 0.00090765 2.3494 2.1796 3.0261 7.3451 4.2599 0.02977 2.3916 1.5403
6.6552 8.0425 7.4952 10.277 9.4704 2.1152 1.06 1.3244 0.49642 1.7078 0.091529 0.036196 0.16106 0.16861 23.4 26.198 0.30709 6.27e-005 0.0038699 0.098622 1.9629 6.91e-005 2.1563 1.9885 2.7754 7.2381 4.1548 0.062571 1.5103 1.5758
3.9365 7.4474 15 9.0777 2.9496 7.118 11.706 1.3025 1.1624 0.21004 0.041245 0.037312 0.0060907 1.2986 29.849 18.021 0.35546 9.46e-005 0.0051765 0.092892 2.3259 2.98e-009 2.9634 1.7902 2.0176 7.5689 3.9469 0.0089455 1.6737 1.3474
7.7043 11.089 7.5566 10.287 4.6831 1.682 1.3975 0.94493 1.557 0.40228 0.086231 0.041382 0.035373 15.199 12.356 19.761 0.34415 5.67e-006 0.0077202 0.029835 2.4114 0.38845 2.1508 2.0976 1.0413 7.7184 3.8109 0.27031 2.9133 1.3582
10.95 9.7111 2.239 2.0165 12.663 12.323 14.931 0.49871 1.1426 1.6245 0.044687 0.099308 0.1573 8.6335 6.2428 4.1188 0.33127 3.36e-005 0.0042359 0.073166 1.7825 0.097266 2.0797 2.222 1.917 6.5681 4.2937 0.13535 2.3315 1.8092
11.347 6.7146 14.748 9.2907 13.761 1.2296 8.684 0.18161 0.99408 1.5264 0.003381 0.018028 0.10185 30.953 0.19335 7.371 0.32907 8.87e-005 0.0073384 0.075898 1.9856 0.36795 2.1081 1.2204 1.2619 4.5752 4.3702 0.059967 2.5747 0.87965
10.57 17.96 2.0682 2.8778 9.7135 2.0147 3.9424 0.95994 1.8535 0.445 0.049656 0.075862 0.012563 25.787 37.783 0.21425 0.30956 7.94e-005 0.00048638 0.038356 2.603 0.43269 2.097 1.6953 0.66277 7.7933 3.7847 0.15054 2.8223 1.4439
14.617 19.343 2.7598 10.712 8.5567 4.2598 2.1111 0.94352 1.6657 0.13135 0.085562 0.096686 0.0033673 42.162 0.051571 11.492 0.35955 8.29e-005 0.0077461 0.089402 2.0046 0.44125 2.1126 1.6291 2.1149 4.1495 5.2452 0.15634 2.8261 0.60363
8.4641 19.095 13.928 11.244 9.2288 10.625 9.6782 0.082673 1.7039 1.9061 0.0062982 0.15562 0.096917 9.0655 39.622 20.403 0.34286 1.86e-005 0.0018142 0.080002 2.4808 0.042732 2.3503 2.0985 1.2386 7.7485 3.915 0.13245 2.7772 1.4286
10.36 18.736 3.0342 6.7634 2.0098 11.1 8.6664 0.50817 1.3944 0.3109 0.044881 0.063314 0.01256 29.874 25.784 21.267 0.31054 4.94e-005 0.0010187 0.060805 2.4887 0.41611 2.1174 2.2004 1.084 7.6257 3.9087 0.17719 2.9329 1.4194
5.4063 17.772 6.6715 7.6622 12.213 5.0274 14.793 0.2142 0.97374 0.60366 0.0033629 0.082369 0.052607 22.556 1.2893 21.967 0.30129 9.31e-005 0.0086093 0.078352 1.9365 0.31024 2.1361 1.1267 2.6319 3.6028 5.6724 0.045038 2.856 0.64889
