x0	x1	x2	x3	x4	x5	y0	
2.0	-0.666666666667	6.0	6.0	-2.0	2.0	216.444444444	
-2.0	3.33333333333	4.66666666667	-2.0	3.33333333333	-0.666666666667	113.333333333	
0.666666666667	-3.33333333333	-2.0	0.666666666667	6.0	0.666666666667	166.666666667	
4.66666666667	-6.0	-3.33333333333	-0.666666666667	-3.33333333333	-6.0	284.0	
-0.666666666667	6.0	-6.0	-3.33333333333	-4.66666666667	-4.66666666667	337.333333333	
-3.33333333333	-4.66666666667	3.33333333333	3.33333333333	-6.0	3.33333333333	276.888888889	
3.33333333333	2.0	-0.666666666667	-6.0	0.666666666667	6.0	294.666666667	
-4.66666666667	4.66666666667	0.666666666667	4.66666666667	4.66666666667	-2.0	195.111111111	
-6.0	-2.0	2.0	-4.66666666667	-0.666666666667	-3.33333333333	134.666666667	
6.0	0.666666666667	-4.66666666667	2.0	2.0	4.66666666667	180.888888889	
