x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 y1  
9.7 0.32 0.54 2.5 0.094 28 83 0.9984 3.28 0.82 9.6 5
8.6 0.685 0.1 1.6 0.092 3 12 0.99745 3.31 0.65 9.55 6
8.6 0.635 0.68 1.8 0.403 19 56 0.99632 3.02 1.15 9.3 5
7.8 0.815 0.01 2.6 0.074 48 90 0.99621 3.38 0.62 10.8 5
8.8 0.33 0.41 5.9 0.073 7 13 0.99658 3.3 0.62 12.1 7
7.2 0.835 0 2 0.166 4 11 0.99608 3.39 0.52 10 5
7.2 0.54 0.27 2.6 0.084 12 78 0.9964 3.39 0.71 11 5
7.9 0.4 0.29 1.8 0.157 1 44 0.9973 3.3 0.92 9.5 6
6.4 0.64 0.21 1.8 0.081 14 31 0.99689 3.59 0.66 9.8 5
7.9 0.58 0.23 2.3 0.076 23 94 0.99686 3.21 0.58 9.5 6
7.8 0.6 0.14 2.4 0.086 3 15 0.9975 3.42 0.6 10.8 6
8.3 0.715 0.15 1.8 0.089 10 52 0.9968 3.23 0.77 9.5 5
6.4 0.42 0.09 2.3 0.054 34 64 0.99724 3.41 0.68 10.4 6
7.1 0.35 0.29 2.5 0.096 20 53 0.9962 3.42 0.65 11 6
10.7 0.9 0.34 6.6 0.112 23 99 1.0029 3.22 0.68 9.3 5
7.2 0.37 0.32 2 0.062 15 28 0.9947 3.23 0.73 11.3 7
6.9 0.55 0.15 2.2 0.076 19 40 0.9961 3.41 0.59 10.1 5
5.9 0.55 0.1 2.2 0.062 39 51 0.99512 3.52 0.76 11.2 6
9 0.82 0.05 2.4 0.081 26 96 0.99814 3.36 0.53 10 5
8.7 0.54 0.26 2.5 0.097 7 31 0.9976 3.27 0.6 9.3 6
7.2 0.34 0.21 2.5 0.075 41 68 0.99586 3.37 0.54 10.1 6
5.5 0.49 0.03 1.8 0.044 28 87 0.9908 3.5 0.82 14 8
7.4 0.6 0.26 2.1 0.083 17 91 0.99616 3.29 0.56 9.8 6
7 0.69 0.08 1.8 0.097 22 89 0.9959 3.34 0.54 9.2 6
6.8 0.63 0.07 2.1 0.089 11 44 0.9953 3.47 0.55 10.4 6
8.9 0.4 0.51 2.6 0.052 13 27 0.995 3.32 0.9 13.4 7
8.1 0.78 0.1 3.3 0.09 4 13 0.99855 3.36 0.49 9.5 5
9.1 0.68 0.11 2.8 0.093 11 44 0.99888 3.31 0.55 9.5 6
8.1 0.545 0.18 1.9 0.08 13 35 0.9972 3.3 0.59 9 6
7.7 0.96 0.2 2 0.047 15 60 0.9955 3.36 0.44 10.9 5
10.6 1.025 0.43 2.8 0.08 21 84 0.9985 3.06 0.57 10.1 5
6.9 0.41 0.31 2 0.079 21 51 0.99668 3.47 0.55 9.5 6
8.9 0.38 0.4 2.2 0.068 12 28 0.99486 3.27 0.75 12.6 7
7.9 0.3 0.68 8.3 0.05 37.5 278 0.99316 3.01 0.51 12.3 7
7.9 0.5 0.33 2 0.084 15 143 0.9968 3.2 0.55 9.5 5
7.2 0.695 0.13 2 0.076 12 20 0.99546 3.29 0.54 10.1 5
10.5 0.51 0.64 2.4 0.107 6 15 0.9973 3.09 0.66 11.8 7
7.5 0.77 0.2 8.1 0.098 30 92 0.99892 3.2 0.58 9.2 5
6.9 0.5 0.04 1.5 0.085 19 49 0.9958 3.35 0.78 9.5 5
7.1 0.59 0 2.1 0.091 9 14 0.99488 3.42 0.55 11.5 7
