x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 y1  
7.7 0.57 0.21 1.5 0.069 4 9 0.99458 3.16 0.54 9.8 6
8.5 0.4 0.4 6.3 0.05 3 10 0.99566 3.28 0.56 12 4
7.4 0.64 0.17 5.4 0.168 52 98 0.99736 3.28 0.5 9.5 5
7.3 0.835 0.03 2.1 0.092 10 19 0.9966 3.39 0.47 9.6 5
7.1 0.31 0.3 2.2 0.053 36 127 0.9965 2.94 1.62 9.5 5
9.7 0.66 0.34 2.6 0.094 12 88 0.99796 3.26 0.66 10.1 5
6.8 0.41 0.31 8.8 0.084 26 45 0.99824 3.38 0.64 10.1 6
7.1 0.43 0.42 5.5 0.07 29 129 0.9973 3.42 0.72 10.5 5
9.3 0.4 0.49 2.5 0.085 38 142 0.9978 3.22 0.55 9.4 5
6.3 0.6 0.1 1.6 0.048 12 26 0.99306 3.55 0.51 12.1 5
13 0.47 0.49 4.3 0.085 6 47 1.0021 3.3 0.68 12.7 6
7.3 0.585 0.18 2.4 0.078 15 60 0.99638 3.31 0.54 9.8 5
13.3 0.43 0.58 1.9 0.07 15 40 1.0004 3.06 0.49 9 5
7.2 0.36 0.46 2.1 0.074 24 44 0.99534 3.4 0.85 11 7
5.4 0.74 0.09 1.7 0.089 16 26 0.99402 3.67 0.56 11.6 6
7.1 0.16 0.44 2.5 0.068 17 31 0.99328 3.35 0.54 12.4 6
8.4 1.035 0.15 6 0.073 11 54 0.999 3.37 0.49 9.9 5
10.3 0.53 0.48 2.5 0.063 6 25 0.9998 3.12 0.59 9.3 6
7.2 0.58 0.03 2.3 0.077 7 28 0.99568 3.35 0.52 10 5
7.1 0.72 0 1.8 0.123 6 14 0.99627 3.45 0.58 9.8 5
9.1 0.29 0.33 2.05 0.063 13 27 0.99516 3.26 0.84 11.7 7
7.5 0.53 0.06 2.6 0.086 20 44 0.9965 3.38 0.59 10.7 6
10 0.31 0.47 2.6 0.085 14 33 0.99965 3.36 0.8 10.5 7
8.4 0.62 0.12 1.8 0.072 38 46 0.99504 3.38 0.89 11.8 6
10.8 0.47 0.43 2.1 0.171 27 66 0.9982 3.17 0.76 10.8 6
8.4 0.635 0.36 2 0.089 15 55 0.99745 3.31 0.57 10.4 4
8.2 0.33 0.32 2.8 0.067 4 12 0.99473 3.3 0.76 12.8 7
7 0.4 0.32 3.6 0.061 9 29 0.99416 3.28 0.49 11.3 7
9.3 0.33 0.45 1.5 0.057 19 37 0.99498 3.18 0.89 11.1 7
8.4 0.25 0.39 2 0.041 4 10 0.99386 3.27 0.71 12.5 7
8.2 1.33 0 1.7 0.081 3 12 0.9964 3.53 0.49 10.9 5
7 0.56 0.13 1.6 0.077 25 42 0.99629 3.34 0.59 9.2 5
7 0.23 0.4 1.6 0.063 21 67 0.9952 3.5 0.63 11.1 5
11.9 0.37 0.69 2.3 0.078 12 24 0.9958 3 0.65 12.8 6
7.1 0.59 0.02 2.3 0.082 24 94 0.99744 3.55 0.53 9.7 6
5.9 0.395 0.13 2.4 0.056 14 28 0.99362 3.62 0.67 12.4 6
11.6 0.32 0.55 2.8 0.081 35 67 1.0002 3.32 0.92 10.8 7
10.9 0.21 0.49 2.8 0.088 11 32 0.9972 3.22 0.68 11.7 6
9.4 0.27 0.53 2.4 0.074 6 18 0.9962 3.2 1.13 12 7
7 0.62 0.1 1.4 0.071 27 63 0.996 3.28 0.61 9.2 5
8.3 0.26 0.37 1.4 0.076 8 23 0.9974 3.26 0.7 9.6 6
9.4 0.395 0.46 4.6 0.094 3 10 0.99639 3.27 0.64 12.2 7
7 0.58 0.12 1.9 0.091 34 124 0.9956 3.44 0.48 10.5 5
4.7 0.6 0.17 2.3 0.058 17 106 0.9932 3.85 0.6 12.9 6
5.6 0.66 0 2.2 0.087 3 11 0.99378 3.71 0.63 12.8 7
8 0.48 0.34 2.2 0.073 16 25 0.9936 3.28 0.66 12.4 6
7.6 0.715 0 2.1 0.068 30 35 0.99533 3.48 0.65 11.4 6
7.1 0.59 0.02 2.3 0.082 24 94 0.99744 3.55 0.53 9.7 6
8.7 0.625 0.16 2 0.101 13 49 0.9962 3.14 0.57 11 5
8.5 0.655 0.49 6.1 0.122 34 151 1.001 3.31 1.14 9.3 5
6.4 0.57 0.12 2.3 0.12 25 36 0.99519 3.47 0.71 11.3 7
12 0.5 0.59 1.4 0.073 23 42 0.998 2.92 0.68 10.5 7
12 0.37 0.76 4.2 0.066 7 38 1.0004 3.22 0.6 13 7
9.9 0.5 0.5 13.8 0.205 48 82 1.0024 3.16 0.75 8.8 5
6.7 0.75 0.01 2.4 0.078 17 32 0.9955 3.55 0.61 12.8 6
8.7 0.78 0.51 1.7 0.415 12 66 0.99623 3 1.17 9.2 5
9.2 0.56 0.18 1.6 0.078 10 21 0.99576 3.15 0.49 9.9 5
6.2 0.44 0.39 2.5 0.077 6 14 0.99555 3.51 0.69 11 6
10.5 0.36 0.47 2.2 0.074 9 23 0.99638 3.23 0.76 12 6
9.2 0.53 0.24 2.6 0.078 28 139 0.99788 3.21 0.57 9.5 5
11.9 0.38 0.51 2 0.121 7 20 0.9996 3.24 0.76 10.4 6
7.2 0.67 0 2.2 0.068 10 24 0.9956 3.42 0.72 11.1 6
7.3 0.59 0.26 7.2 0.07 35 121 0.9981 3.37 0.49 9.4 5
8.3 0.705 0.12 2.6 0.092 12 28 0.9994 3.51 0.72 10 5
6.5 0.46 0.14 2.4 0.114 9 37 0.99732 3.66 0.65 9.8 5
7.4 0.965 0 2.2 0.088 16 32 0.99756 3.58 0.67 10.2 5
12.5 0.38 0.6 2.6 0.081 31 72 0.9996 3.1 0.73 10.5 5
8.7 0.31 0.46 1.4 0.059 11 25 0.9966 3.36 0.76 10.1 6
7.5 0.49 0.2 2.6 0.332 8 14 0.9968 3.21 0.9 10.5 6
12.5 0.56 0.49 2.4 0.064 5 27 0.9999 3.08 0.87 10.9 5
6.8 0.64 0 2.7 0.123 15 33 0.99538 3.44 0.63 11.3 6
7 0.55 0.13 2.2 0.075 15 35 0.9959 3.36 0.59 9.7 6
9.5 0.46 0.49 6.3 0.064 5 17 0.9988 3.21 0.73 11 6
6.9 0.56 0.03 1.5 0.086 36 46 0.99522 3.53 0.57 10.6 5
8.5 0.44 0.5 1.9 0.369 15 38 0.99634 3.01 1.1 9.4 5
9.7 0.69 0.32 2.5 0.088 22 91 0.9979 3.29 0.62 10.1 5
7.9 0.18 0.4 1.8 0.062 7 20 0.9941 3.28 0.7 11.1 5
8.7 0.52 0.09 2.5 0.091 20 49 0.9976 3.34 0.86 10.6 7
10 0.59 0.31 2.2 0.09 26 62 0.9994 3.18 0.63 10.2 6
10.2 0.36 0.64 2.9 0.122 10 41 0.998 3.23 0.66 12.5 6
7.7 0.935 0.43 2.2 0.114 22 114 0.997 3.25 0.73 9.2 5
8.1 0.53 0.22 2.2 0.078 33 89 0.99678 3.26 0.46 9.6 6
7.7 0.39 0.12 1.7 0.097 19 27 0.99596 3.16 0.49 9.4 5
7.1 0.6 0 1.8 0.074 16 34 0.9972 3.47 0.7 9.9 6
6.9 0.54 0.04 3 0.077 7 27 0.9987 3.69 0.91 9.4 6
9.1 0.76 0.68 1.7 0.414 18 64 0.99652 2.9 1.33 9.1 6
7.7 0.775 0.42 1.9 0.092 8 86 0.9959 3.23 0.59 9.5 5
6.2 0.63 0.31 1.7 0.088 15 64 0.9969 3.46 0.79 9.3 5
8.2 0.23 0.42 1.9 0.069 9 17 0.99376 3.21 0.54 12.3 6
6.6 0.895 0.04 2.3 0.068 7 13 0.99582 3.53 0.58 10.8 6
9.6 0.77 0.12 2.9 0.082 30 74 0.99865 3.3 0.64 10.4 6
9.6 0.42 0.35 2.1 0.083 17 38 0.99622 3.23 0.66 11.1 6
7.1 0.46 0.2 1.9 0.077 28 54 0.9956 3.37 0.64 10.4 6
9.2 0.63 0.21 2.7 0.097 29 65 0.9988 3.28 0.58 9.6 5
8.1 0.67 0.55 1.8 0.117 32 141 0.9968 3.17 0.62 9.4 5
8.8 0.31 0.4 2.8 0.109 7 16 0.99614 3.31 0.79 11.8 7
8.8 0.61 0.14 2.4 0.067 10 42 0.9969 3.19 0.59 9.5 5
11.3 0.36 0.66 2.4 0.123 3 8 0.99642 3.2 0.53 11.9 6
10.4 0.55 0.23 2.7 0.091 18 48 0.9994 3.22 0.64 10.3 6
7.5 0.6 0.03 1.8 0.095 25 99 0.995 3.35 0.54 10.1 5
9.3 0.38 0.48 3.8 0.132 3 11 0.99577 3.23 0.57 13.2 6
6.9 0.39 0.24 2.1 0.102 4 7 0.99462 3.44 0.58 11.4 4
7.8 0.645 0 2 0.082 8 16 0.9964 3.38 0.59 9.8 6
7.1 0.43 0.17 1.8 0.082 27 51 0.99634 3.49 0.64 10.4 5
6.8 0.59 0.06 6 0.06 11 18 0.9962 3.41 0.59 10.8 7
